Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
RMCF	"[""RMCF""]"	nGNX4X9QVk	2026-05-15 08:30:00	Rocky Mountain Chocolate Factory to Participate in the LD Micro Invitational XVI Conference on May 18, 2026	Globe Newswire	5.6	NASDAQ	2026-05-15 08:30:00.368278	0.1429	0.0256	0.8316	0.1173	positive	NO:sentiment_score
CITR	"[""CITR""]"	nBw4NhZLFa	2026-05-15 08:30:00	CitroTech Provides Business Update	Business Wire	9.55	NYSE AMERICAN	2026-05-15 08:30:00.445263	0.0652	0.0291	0.9057	0.0362	neutral	NO:sentiment_score
DFDV	"[""DFDV""]"	nGNX79K3Xs	2026-05-15 08:30:00	DeFi Development Corp. to Host X Spaces Event: “DFDV April 2026 Recap & AMA”	Globe Newswire	20.89	NASDAQ	2026-05-15 08:30:00.479165	0.1152	0.03	0.8548	0.0853	positive	NO:sentiment_score
SRXH	"[""SRXH""]"	nGNX1l9dxd	2026-05-15 08:30:00	SRx Health Solutions Announces Board Approval to Dividend 75% of Profits from Investment in Astro Investment XVII, an Affiliate of Astro Capital and SPV with Investments in SpaceX and Other Artificial Intelligence and Space Companies	Globe Newswire	273.77	NYSE AMERICAN	2026-05-15 08:30:00.875269	0.6103	0.0195	0.3702	0.5908	positive	NO:sentiment_score,Float
MBRX	"[""MBRX""]"	nGNX4Nn8vj	2026-05-15 08:30:00	Moleculin Reports First Quarter 2026 Financial Results and Provides Clinical Update on Pivotal MIRACLE Trial	Globe Newswire	5.29	NASDAQ	2026-05-15 08:30:00.936741	0.1248	0.0214	0.8538	0.1035	positive	NO:sentiment_score
WRAP	"[""WRAP""]"	nGNX1RWC44	2026-05-15 08:30:00	WRAP® Advances Education Sector Expansion with Virtual Reality Training Purchase from William Paterson University	Globe Newswire	36.17	NASDAQ	2026-05-15 08:30:00.939009	0.3337	0.0116	0.6547	0.3221	positive	NO:sentiment_score
MBIO	"[""MBIO""]"	nGNX3Sb35m	2026-05-15 08:30:00	NetworkNews Audio Announces Audio Press Release (APR) Discussing Combining Artificial Intelligence with Speech Analysis to Detect Intoxication	Globe Newswire	6.44		2026-05-15 08:30:00.994062	0.2057	0.0123	0.782	0.1934	positive	NO:sentiment_score
BTCS	"[""BTCS""]"	nGNX9T1gDV	2026-05-15 08:30:01	BTCS Reports Gross Profit of $1.0 Million and 47% Gross Margin for First Quarter 2026	Globe Newswire	37.19	NASDAQ	2026-05-15 08:30:01.316699	0.225	0.0554	0.7196	0.1696	positive	NO:sentiment_score
HTCR	"[""HTCR""]"	nGNXc6vH6z	2026-05-15 08:30:01	HeartCore Reports First Quarter 2026 Financial Results	Globe Newswire	0.44	NASDAQ	2026-05-15 08:30:01.843058	0.1211	0.0912	0.7876	0.0299	neutral	NO:sentiment_score
AIB	"[""AIB""]"	nGNX2Jj8X8	2026-05-15 08:31:00	BlockchAIn Reports First Quarter 2026 Financial Results	Globe Newswire	11.29	NYSE AMERICAN	2026-05-15 08:31:00.357128	0.0972	0.0788	0.824	0.0185	neutral	NO:sentiment_score
CMND	"[""CMND""]"	nGNX2C31D5	2026-05-15 08:35:00	Clearmind Medicine CEO Dr. Adi Zuloff-Shani named Delegate to Federal Policy Summit on Psychedelic Medicine in Washington, D.C.	Globe Newswire	1.71	NASDAQ	2026-05-15 08:35:00.181474	0.1002	0.0343	0.8654	0.0659	positive	NO:sentiment_score
NNVC	"[""NNVC""]"	nACSzSllYa	2026-05-15 08:35:01	NanoViricides Announces Pricing of ~$2 Million Registered Direct Offering 	ACCESSWIRE	20.99	NYSE AMERICAN	2026-05-15 08:35:01.084610	0.1982	0.0126	0.7892	0.1856	positive	NO:sentiment_score
XXII	"[""XXII""]"	nGNXlCX2Y	2026-05-15 08:37:00	22nd Century Group (Nasdaq: XXII) Ignites Major VLN® Retail Expansion in Metro New York and Northern New Jersey Under Pinnacle Brand 	Globe Newswire	0.7	NASDAQ	2026-05-15 08:37:00.206519	0.7234	0.0169	0.2597	0.7065	positive	YES
OPTX	"[""OPTX""]"	nGNX9n90ql	2026-05-15 08:38:49	Syntec Optics (Nasdaq: OPTX) to Host Conference Call to Discuss Financial Results and Business Update	Globe Newswire	6.23	NASDAQ	2026-05-15 08:38:49.188531	0.1281	0.0191	0.8529	0.109	positive	NO:sentiment_score
PPCB	"[""PPCB""]"	nGNX42vntb	2026-05-15 08:45:00	Propanc Biopharma Provides Corporate Update and Reports Third Quarter 2025/26 Results	Globe Newswire	13.65	NASDAQ	2026-05-15 08:45:00.371168	0.0529	0.0338	0.9133	0.0191	neutral	NO:sentiment_score
TOON	"[""TOON""]"	nGNX1d9g6n	2026-05-15 08:51:00	Kartoon Studios Reports Q1 2026 Results	Globe Newswire	53.08	NYSE AMERICAN	2026-05-15 08:51:00.248716	0.0945	0.1093	0.7961	-0.0148	neutral	NO:sentiment_score,Float
LGCB	"[""LGCB""]"	nGNX8dlSfM	2026-05-15 08:59:00	LINKAGE GLOBAL TO CHANGE NASDAQ TICKER SYMBOL TO “UZX” FOLLOWING TRANSACTION WITH UZX DAO FOUNDATION	Globe Newswire	2.37	NASDAQ	2026-05-15 08:59:00.179254	0.2005	0.0596	0.7399	0.1408	positive	NO:sentiment_score
ZBAO	"[""ZBAO""]"	nNFC9Blp2l	2026-05-15 08:59:15	Zhibao Labuan Reinsurance Company Limited Welcomes Ms. Jun XU to Its Board of Directors as Independent Director	Newsfile Corp	8.69	NASDAQ	2026-05-15 08:59:15.385576	0.2877	0.0105	0.7018	0.2772	positive	NO:sentiment_score
DOMO	"[""DOMO""]"	nBwbJSTZMa	2026-05-15 09:00:00	Domo Announces Timing of First Quarter Fiscal 2027 Earnings Conference Call	Business Wire	37.68	NASDAQ	2026-05-15 09:00:00.510442	0.0829	0.0761	0.841	0.0068	neutral	NO:sentiment_score
ACU	"[""ACU""]"	nGNX2BHRYQ	2026-05-15 09:00:00	Acme United to Participate in the Sidoti Micro Cap Virtual Conference	Globe Newswire	3.38	NYSE AMERICAN	2026-05-15 09:00:00.547902	0.2296	0.012	0.7584	0.2176	positive	NO:sentiment_score
INTT	"[""INTT""]"	nBw892HT1a	2026-05-15 09:00:00	InTest Corporation to Present at Upcoming Investor Conferences	Business Wire	10.83	NYSE AMERICAN	2026-05-15 09:00:00.766984	0.12	0.0199	0.8601	0.1001	positive	NO:sentiment_score
UHG	"[""UHG""]"	nGNX37CtcM	2026-05-15 09:00:01	UHG UPCOMING DEADLINE : The Gross Law Firm Alerts United Homes Group, Inc. Stockholders of Securities Class Action - Contact the Firm	Globe Newswire	11.21	NASDAQ	2026-05-15 09:00:01.042231	0.069	0.093	0.8379	-0.024	neutral	NO:sentiment_score
VRAX	"[""VRAX"", ""AVL""]"	nACSYmfwCa	2026-05-15 09:00:01	Avalon Advanced Materials and Virax Biolabs Interviews to Air on the RedChip Small Stocks, Big Money(TM) Show on Bloomberg TV	ACCESSWIRE	18.96	NASDAQ	2026-05-15 09:00:01.051882	0.1516	0.0263	0.8221	0.1252	positive	NO:sentiment_score
AVL	"[""VRAX"", ""AVL""]"	nACSYmfwCa	2026-05-15 09:00:01	Avalon Advanced Materials and Virax Biolabs Interviews to Air on the RedChip Small Stocks, Big Money(TM) Show on Bloomberg TV	ACCESSWIRE		NASDAQ	2026-05-15 09:00:01.053286	0.1516	0.0263	0.8221	0.1252	positive	NO:sentiment_score,Float
RDI	"[""RDI""]"	nGNX6F6QdJ	2026-05-15 09:00:01	Reading International Reports First Quarter 2026 Results	Globe Newswire	16.66	NASDAQ	2026-05-15 09:00:01.627118	0.0508	0.0604	0.8888	-0.0096	neutral	NO:sentiment_score
ATRA	"[""ATRA""]"	nGNX2lwbmJ	2026-05-15 09:00:01	The Gross Law Firm Reminds Atara Biotherapeutics, Inc. Investors of the Pending Class Action Lawsuit With a Lead Plaintiff Deadline of May 22, 2026 - ATRA	Globe Newswire	4.86	NASDAQ	2026-05-15 09:00:01.746716	0.2384	0.0736	0.688	0.1648	positive	NO:sentiment_score
GEMI	"[""GEMI""]"	nGNXhkz6H	2026-05-15 09:00:01	GEMI Shareholder Alert: Gemini Space Station, Inc. Securities Class Action Lawsuit - Investors With Losses May Contact The Gross Law Firm	Globe Newswire	38.2	NASDAQ	2026-05-15 09:00:01.861976	0.087	0.126	0.787	-0.039	neutral	NO:sentiment_score
SURG	"[""SURG""]"	nGNX6Wn3l8	2026-05-15 09:00:01	SurgePays Reports First Quarter 2026 Revenue of Approximately $16 Million, Up 51% Year-Over-Year Driven by Point of Sale and Prepaid Services Growth of 71%	Globe Newswire	15.58	NASDAQ	2026-05-15 09:00:01.960241	0.9436	0.015	0.0414	0.9286	positive	YES
PHR	"[""PHR""]"	nGNXw68v5	2026-05-15 09:00:01	PHR Shareholder Alert: Phreesia, Inc. Securities Class Action Lawsuit - Investors Should Contact The Gross Law Firm	Globe Newswire	46.13	NYSE	2026-05-15 09:00:02.004471	0.1159	0.0627	0.8214	0.0532	positive	NO:sentiment_score
KULR	"[""KULR""]"	nNFC6nD9Qm	2026-05-15 09:00:15	ATTN KULR INVESTORS: Kaskela Law Firm Announces Investigation of KULR Technology Group, Inc. (KULR) and Encourages Current KULR Shareholders to Contact the Firm	Newsfile Corp	42.57	NYSE AMERICAN	2026-05-15 09:00:16.017471	0.1247	0.1166	0.7587	0.0082	neutral	NO:sentiment_score
ELPW	"[""ELPW""]"	nPn36MFk8a	2026-05-15 09:15:00	Elong Power Holding Limited Announces Pricing of US$6.0 Million Public Offering	PR Newswire	1.38	NASDAQ	2026-05-15 09:15:00.141394	0.2707	0.0278	0.7015	0.2429	positive	NO:sentiment_score
HTOO	"[""HTOO"", ""QIND""]"	nGNX5lRLBg	2026-05-15 09:15:00	Fusion Fuel Highlights First Quarter 2026 Financial Results of Majority-Owned Subsidiary Quality Industrial Corp., Highlighted by Return to Profitability and Significant Operating Expense Reduction	Globe Newswire	2.27	NASDAQ	2026-05-15 09:15:00.267478	0.9405	0.0251	0.0343	0.9154	positive	YES
QIND	"[""HTOO"", ""QIND""]"	nGNX5lRLBg	2026-05-15 09:15:00	Fusion Fuel Highlights First Quarter 2026 Financial Results of Majority-Owned Subsidiary Quality Industrial Corp., Highlighted by Return to Profitability and Significant Operating Expense Reduction	Globe Newswire		NASDAQ	2026-05-15 09:15:00.269150	0.9405	0.0251	0.0343	0.9154	positive	NO:Float
GGRP	"[""GGRP""]"	nACSR3Mlha	2026-05-15 09:15:00	The Glimpse Group Announces Pricing of $1.845 Million Investment As It Transitions Into A Physical AI Company	ACCESSWIRE	14.91	NASDAQ	2026-05-15 09:15:00.312645	0.1103	0.0145	0.8752	0.0958	positive	NO:sentiment_score
PBM	"[""PBM""]"	nGNXbl7FH9	2026-05-15 09:15:00	Psyence BioMed Announces U.S. Strategic Engagement Initiative Focused on GMP Ibogaine Research and Manufacturing	Globe Newswire	0.25	NASDAQ	2026-05-15 09:15:00.315171	0.5077	0.0143	0.478	0.4934	positive	NO:sentiment_score
LFT	"[""LFT""]"	nPn33JBGRa	2026-05-15 09:20:00	Lument Finance Trust Reports First Quarter 2026 Results	PR Newswire	32.95	NYSE	2026-05-15 09:20:00.138937	0.0566	0.0585	0.8849	-0.0018	neutral	NO:sentiment_score
JXG	"[""JXG""]"	nPn27pp7Qa	2026-05-15 09:30:00	JX Luxventure Group Inc. Announces Fiscal Year 2025 Financial Results: Revenue Surges 66% to $83.0 Million	PR Newswire	1.19	NASDAQ	2026-05-15 09:30:00.628200	0.9312	0.0345	0.0343	0.8967	positive	YES
PRSO	"[""PRSO""]"	nGNE41ZGXp	2026-05-15 09:37:11	REG-Prosafe SE: Invitation to Q1 2026 results and webcast on 1 June	Globe Newswire	12.12	OSLO BØRS	2026-05-15 09:37:11.155973	0.0678	0.0202	0.912	0.0476	neutral	NO:sentiment_score
PMEC	"[""PMEC""]"	nGNX6zf6Wg	2026-05-15 09:45:00	Primech AI Signs Three-Year Hytron Leasing Deal for High-Traffic Singapore Public Sector Site	Globe Newswire	5.53	NASDAQ	2026-05-15 09:45:00.199081	0.7492	0.0108	0.24	0.7384	positive	YES
PODC	"[""PODC""]"	nGNXbPlJJR	2026-05-15 09:46:14	LiveOne (Nasdaq: LVO) and PodcastOne (Nasdaq: PODC) Selected to Present at the 2026 LD Micro Invitational XVI May 17-19, 2026 at the Luxe Sunset Boulevard Hotel, Los Angeles	Globe Newswire	4.25	NASDAQ	2026-05-15 09:46:14.223566	0.1394	0.016	0.8447	0.1234	positive	NO:sentiment_score
FLD	"[""FLD""]"	nNFC25XHKL	2026-05-15 09:54:15	Stonegate Capital Partners Updates Coverage on Fold Holdings Inc. (FLD) 1Q26	Newsfile Corp	8.0	NASDAQ	2026-05-15 09:54:15.217636	0.0994	0.0565	0.8441	0.0429	neutral	NO:sentiment_score
III	"[""III""]"	nBw8HccNha	2026-05-15 10:00:00	ISG to Study HR Outsourcing Service Providers	Business Wire	33.28	NASDAQ	2026-05-15 10:00:00.293419	0.136	0.0167	0.8472	0.1193	positive	NO:sentiment_score
AZ	"[""AZ""]"	nPn6F7BQGa	2026-05-15 10:13:40	A2Z Provides Update to Financial Results for First Quarter 2026	PR Newswire	32.61	NASDAQ	2026-05-15 10:13:40.735601	0.0743	0.0566	0.8692	0.0177	neutral	NO:sentiment_score
RY	"[""RY""]"	nWkrGx9nN	2026-05-15 10:14:34	April 2026 Investor Report	Cision	1400.0	TSX	2026-05-15 10:14:34.925724	0.095	0.0807	0.8243	0.0143	neutral	NO:sentiment_score,Float
DGNX	"[""DGNX""]"	nACSv1KR1a	2026-05-15 10:20:00	Diginex Outlines Progress on Sixteen-Month Transformation Into Global AI, Data and Sustainability Platform	ACCESSWIRE	11.83	NASDAQ	2026-05-15 10:20:00.281942	0.318	0.009	0.673	0.309	positive	NO:sentiment_score
TOPS	"[""TOPS""]"	nGNX4Bcp8z	2026-05-15 10:20:53	TOP Ships Inc. Elects Not to Proceed with Previously Announced $10m Public Offering	Globe Newswire	1.25	NYSE AMERICAN	2026-05-15 10:20:53.186329	0.0406	0.1885	0.7709	-0.1479	negative	NO:sentiment_score
AMG	"[""AMG""]"	nBwbJg1wYa	2026-05-15 10:38:00	REG-Qube Research & Technologies LTD Form 8.3	Business Wire	25.59	EURONEXT AMSTERDAM	2026-05-15 10:38:00.307256	0.0848	0.0269	0.8883	0.058	positive	NO:sentiment_score
GEMI	"[""GEMI""]"	nGNX4BTNyN	2026-05-15 10:45:12	"GEMI DEADLINE ALERT: Lawsuit Alleges IPO Documents Concealed Impending ""Corporate Pivot"" and Executive Turmoil - Gemini Space Station Investors Face Losses– Hagens Berman"	Globe Newswire	38.2	NASDAQ	2026-05-15 10:45:12.187700	0.1201	0.5045	0.3753	-0.3844	negative	NO:sentiment_score
GAIA	"[""GAIA""]"	nACSz4d0fa	2026-05-15 11:00:00	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Gaia, Inc. (GAIA) and Encourages Stockholders to Learn More About the Investigation	ACCESSWIRE	17.79	NASDAQ	2026-05-15 11:00:01.004579	0.2064	0.0575	0.7361	0.1489	positive	NO:sentiment_score
UHG	"[""UHG""]"	nACS4G6rba	2026-05-15 11:00:01	UHG SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that United Homes Group, Inc. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	11.21	NASDAQ	2026-05-15 11:00:01.476303	0.1627	0.1653	0.672	-0.0025	neutral	NO:sentiment_score
LEE	"[""LEE""]"	nACScsBMKa	2026-05-15 11:00:01	Bronstein, Gewirtz & Grossman, LLC Encourages Lee Enterprises, Inc. (LEE) Stockholders to Inquire about Securities Investigation	ACCESSWIRE	5.91	NASDAQ	2026-05-15 11:00:01.779305	0.0953	0.0248	0.8799	0.0704	positive	NO:sentiment_score
QUCY	"[""QUCY"", ""4TO""]"	nGNXbDSKk3	2026-05-15 11:03:58	Quantum Cyber N.V. Launches quantum-cyber.ai Targeting Homeland Security, Autonomous Drone, & Quantum Technology Sectors	Globe Newswire	10.66	NASDAQ	2026-05-15 11:03:58.383216	0.0987	0.0124	0.8889	0.0864	positive	NO:sentiment_score
4TO	"[""QUCY"", ""4TO""]"	nGNXbDSKk3	2026-05-15 11:03:58	Quantum Cyber N.V. Launches quantum-cyber.ai Targeting Homeland Security, Autonomous Drone, & Quantum Technology Sectors	Globe Newswire		NASDAQ	2026-05-15 11:03:58.384491	0.0987	0.0124	0.8889	0.0864	positive	NO:sentiment_score,Float
DHY	"[""DHY""]"	nPn9C83j5a	2026-05-15 11:05:12	Credit Suisse High Yield Credit Fund Announces Preliminary Results of Transferable Rights Offering	PR Newswire	103.54	NYSE AMERICAN	2026-05-15 11:05:12.087704	0.1439	0.0223	0.8338	0.1216	positive	NO:sentiment_score,Float
UHG	"[""UHG""]"	nGNX8m1ylt	2026-05-15 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges United Homes Group, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	11.21	NASDAQ	2026-05-15 12:00:00.202759	0.1505	0.2528	0.5966	-0.1023	negative	NO:sentiment_score
ATRA	"[""ATRA""]"	nNFCcbgWRT	2026-05-15 12:00:18	Bronstein, Gewirtz & Grossman LLC Urges Atara Biotherapeutics, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	4.86	NASDAQ	2026-05-15 12:00:18.534269	0.1282	0.3506	0.5213	-0.2224	negative	NO:sentiment_score
FCHL	"[""FCHL""]"	nNFC7kwBd2	2026-05-15 12:00:20	Bronstein, Gewirtz & Grossman LLC Urges Fitness Champs Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	0.35	NASDAQ	2026-05-15 12:00:20.162478	0.144	0.192	0.664	-0.048	neutral	NO:sentiment_score
GEMI	"[""GEMI""]"	nNFC3C4BHr	2026-05-15 12:00:20	Bronstein, Gewirtz & Grossman LLC Urges Gemini Space Station, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	38.2	NASDAQ	2026-05-15 12:00:20.195479	0.1485	0.2226	0.6289	-0.0741	negative	NO:sentiment_score
BRAI	"[""BRAI""]"	nPRrF3189a	2026-05-15 12:08:40	REG-BlackRock American Income Trust Plc: Issue of Equity	PR Newswire	17.7	LSE	2026-05-15 12:08:40.611996	0.0606	0.0415	0.8979	0.0191	neutral	NO:sentiment_score
LEE	"[""LEE""]"	nNFC6rFf1N	2026-05-15 12:14:49	Johnson Fistel Investigates Potential Board Fiduciary Duty Breaches at Lee Enterprises, Inc.	Newsfile Corp	5.91	NASDAQ	2026-05-15 12:14:49.815300	0.0932	0.1259	0.7808	-0.0327	neutral	NO:sentiment_score
S	"[""S""]"	nBw5D2MMPa	2026-05-15 12:40:00	Sherritt Provides Further Update on Activities in Cuba	Business Wire	316.28	TSX	2026-05-15 12:40:00.182519	0.1065	0.0435	0.85	0.063	positive	NO:sentiment_score,Float
GPUS	"[""GPUS""]"	nPn8dZ9kPa	2026-05-15 13:22:45	Hyperscale Data Announces Intent to Launch Tender Offer to Acquire Up to $5,000,000 of Outstanding Shares at $0.21 Per Share	PR Newswire	411.68	NYSE AMERICAN	2026-05-15 13:22:45.685790	0.1309	0.0111	0.858	0.1197	positive	NO:sentiment_score,Float
LUD	"[""LUD""]"	nGNX6xpBJv	2026-05-15 14:00:00	Luda Technology Group Limited announces 2025 full year results	Globe Newswire	2.6899	NYSE AMERICAN	2026-05-15 14:00:00.234647	0.1724	0.0949	0.7327	0.0775	positive	NO:sentiment_score
ATRA	"[""ATRA""]"	nPn88XTsVa	2026-05-15 15:00:00	Atara Biotherapeutics, Inc. (ATRA) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	4.86	NASDAQ	2026-05-15 15:00:00.634138	0.0576	0.4839	0.4585	-0.4264	negative	NO:sentiment_score
MKZR	"[""MKZR""]"	nGNXcd0Bpq	2026-05-15 15:24:38	MacKenzie Realty Capital Reports Third Quarter 2026 Financial Results and Stabilization of Development	Globe Newswire	1.53	NASDAQ	2026-05-15 15:24:38.231828	0.2565	0.0497	0.6938	0.2068	positive	NO:sentiment_score
BYFC	"[""BYFC""]"	nBw6gQyBga	2026-05-15 15:30:00	CORRECTING and REPLACING Broadway Financial Corporation Announces Results of Operations for First Quarter 2026	Business Wire	4.28	NASDAQ	2026-05-15 15:30:00.318298	0.118	0.135	0.747	-0.017	neutral	NO:sentiment_score
GEMI	"[""GEMI""]"	nPn89n8Vwa	2026-05-15 15:57:00	Gemini Space Station, Inc. (GEMI) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit	PR Newswire	38.2	NASDAQ	2026-05-15 15:57:00.144225	0.0537	0.4348	0.5114	-0.3811	negative	NO:sentiment_score
KSCP	"[""KSCP""]"	nBw23pR3ta	2026-05-15 16:00:00	Knightscope Q1 Revenue Up 106% to $6M	Business Wire	14.22	NASDAQ	2026-05-15 16:00:00.180617	0.9398	0.0267	0.0335	0.9131	positive	YES
ACRV	"[""ACRV""]"	nGNX6QlMKd	2026-05-15 16:00:00	Acrivon Therapeutics Announces Inducement Grant Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	29.41	NASDAQ	2026-05-15 16:00:00.212526	0.1807	0.0197	0.7996	0.1611	positive	NO:sentiment_score
LTRN	"[""LTRN""]"	nBw2XqkyBa	2026-05-15 16:01:00	Lantern Pharma Reports First Quarter 2026 Financial Results and Provides Business Updates	Business Wire	8.28	NASDAQ	2026-05-15 16:01:00.285699	0.0685	0.032	0.8995	0.0365	neutral	NO:sentiment_score
HYFM	"[""HYFM""]"	nGNX2wGNnW	2026-05-15 16:02:00	Hydrofarm Holdings Group Announces First Quarter 2026 Results	Globe Newswire	3.63	NASDAQ	2026-05-15 16:02:00.374410	0.0675	0.076	0.8565	-0.0085	neutral	NO:sentiment_score
WGRX	"[""WGRX""]"	nACS8HGnPa	2026-05-15 16:03:25	Wellgistics Health to Announce First Quarter 2026 Financials on Tuesday May 19, 2026	ACCESSWIRE	49.67	NASDAQ	2026-05-15 16:03:25.387773	0.0893	0.0293	0.8814	0.06	positive	NO:sentiment_score
WCN	"[""WCN""]"	nBw3qQSRCa	2026-05-15 16:05:00	Waste Connections Annual Shareholders Meeting Results	Business Wire	253.21	TSX	2026-05-15 16:05:00.310270	0.1215	0.1494	0.7291	-0.0278	neutral	NO:sentiment_score,Float
FDMT	"[""FDMT""]"	nGNX251yPJ	2026-05-15 16:05:00	4DMT Announces New Employment Inducement Grants	Globe Newswire	45.5	NASDAQ	2026-05-15 16:05:00.431744	0.2541	0.3804	0.3654	-0.1263	negative	NO:sentiment_score
HSDT	"[""HSDT""]"	nGNXbB78N6	2026-05-15 16:05:00	Solana Company Reports First Quarter 2026 Financial Results	Globe Newswire	30.18	NASDAQ	2026-05-15 16:05:00.611499	0.1603	0.1124	0.7273	0.0479	neutral	NO:sentiment_score
SKLZ	"[""SKLZ""]"	nBw8qGvgja	2026-05-15 16:05:00	Skillz Reports First Quarter 2026 Results	Business Wire	8.46	NYSE	2026-05-15 16:05:00.655468	0.0701	0.0584	0.8715	0.0118	neutral	NO:sentiment_score
SOS	"[""SOS""]"	nPn3RJw6Qa	2026-05-15 16:05:00	SOS Limited Reports 2025 Financial Results	PR Newswire	6.57	NYSE	2026-05-15 16:05:00.796054	0.1171	0.1281	0.7548	-0.0111	neutral	NO:sentiment_score
XPON	"[""XPON""]"	nGNX9SKX05	2026-05-15 16:05:00	Expion360 Reports First Quarter 2026 Financial and Operational Results	Globe Newswire	10.43	NASDAQ	2026-05-15 16:05:01.007439	0.1453	0.091	0.7638	0.0543	positive	NO:sentiment_score
PSTV	"[""PSTV""]"	nGNX3W5LTs	2026-05-15 16:05:00	Plus Therapeutics Reports First Quarter 2026 Financial Results and Provides Business Update on REYOBIQ™ Clinical Program and CNSide® Commercial Rollout	Globe Newswire	6.82	NASDAQ	2026-05-15 16:05:01.018516	0.0859	0.0424	0.8717	0.0435	neutral	NO:sentiment_score
OSTX	"[""OSTX""]"	nNFC5mS4mt	2026-05-15 16:05:18	OS Therapies to Announce First Quarter 2026 Financials on Monday, May 18, 2026	Newsfile Corp	29.77	NYSE AMERICAN	2026-05-15 16:05:18.448018	0.0606	0.0284	0.911	0.0323	neutral	NO:sentiment_score
1BTG	"[""ENLV"", ""1BTG""]"	nGNX8HTK3c	2026-05-15 16:10:00	Enlivex Announces Receipt of Nasdaq Minimum Bid Price Notification	Globe Newswire		NASDAQ	2026-05-15 16:10:00.236979	0.1508	0.0376	0.8116	0.1132	positive	NO:sentiment_score,Float
ENLV	"[""ENLV"", ""1BTG""]"	nGNX8HTK3c	2026-05-15 16:10:00	Enlivex Announces Receipt of Nasdaq Minimum Bid Price Notification	Globe Newswire	31.45	NASDAQ	2026-05-15 16:10:00.237337	0.1508	0.0376	0.8116	0.1132	positive	NO:sentiment_score
GNLN	"[""GNLN""]"	nGNX6LsTCQ	2026-05-15 16:10:00	Greenlane Reports First Quarter 2026 Financial Results	Globe Newswire	0.54	NASDAQ	2026-05-15 16:10:00.450316	0.1088	0.111	0.7802	-0.0021	neutral	NO:sentiment_score
BNZI	"[""BNZI""]"	nGNX4jrNjv	2026-05-15 16:10:54	Banzai Reports First Quarter 2026 Financial Results	Globe Newswire	15.38	NASDAQ	2026-05-15 16:10:54.486327	0.1034	0.109	0.7875	-0.0056	neutral	NO:sentiment_score
AGEN	"[""AGEN""]"	nBw6H1KVSa	2026-05-15 16:11:00	Agenus Announces Publication of Phase 1b Botensilimab and Balstilimab Data in Post-Immunotherapy Hepatocellular Carcinoma in Liver Cancer	Business Wire	34.54	NASDAQ	2026-05-15 16:11:00.249371	0.4698	0.0729	0.4574	0.3969	positive	NO:sentiment_score
MTEK	"[""MTEK""]"	nGNExwLtg	2026-05-15 16:11:00	Maris-Tech Announces Full-Year 2025 Financial Results and Continued Strategic Focus on AI-Powered Edge Video Solutions	Globe Newswire	5.82	NASDAQ	2026-05-15 16:11:00.322662	0.715	0.013	0.272	0.702	positive	YES
CETX	"[""CETX""]"	nGNX7nvR8m	2026-05-15 16:15:00	Cemtrex Reports Fiscal Year 2026 Second Quarter Financial Results	Globe Newswire	10.07	NASDAQ	2026-05-15 16:15:00.323857	0.1636	0.1369	0.6994	0.0267	neutral	NO:sentiment_score
ENSC	"[""ENSC""]"	nACShFpWCa	2026-05-15 16:15:00	Ensysce Biosciences Reports First Quarter 2026 Financial Results	ACCESSWIRE	9.25	NASDAQ	2026-05-15 16:15:00.555375	0.0941	0.0909	0.8149	0.0032	neutral	NO:sentiment_score
MOON	"[""BMM"", ""MOON""]"	nPn2J0mxpa	2026-05-15 16:15:00	Blue Moon Closes Previously Announced Acquisition of Claims Adjacent to Springer Tungsten	PR Newswire		NASDAQ	2026-05-15 16:15:00.637093	0.1674	0.0262	0.8063	0.1412	positive	NO:sentiment_score,Float
BMM	"[""BMM"", ""MOON""]"	nPn2J0mxpa	2026-05-15 16:15:00	Blue Moon Closes Previously Announced Acquisition of Claims Adjacent to Springer Tungsten	PR Newswire	46.16	NASDAQ	2026-05-15 16:15:00.637394	0.1674	0.0262	0.8063	0.1412	positive	NO:sentiment_score
ANY	"[""ANY""]"	nNFC4bz8dM	2026-05-15 16:15:20	Sphere 3D Reports First Quarter 2026 Financial Results	Newsfile Corp	3.65	NASDAQ	2026-05-15 16:15:20.036360	0.1349	0.0886	0.7765	0.0463	neutral	NO:sentiment_score
