Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
AMG	"[""AMG""]"	nBwbMDtTja	2026-05-20 08:58:00	REG-Qube Research & Technologies LTD Form 8.3	Business Wire	25.59	EURONEXT AMSTERDAM	2026-05-20 08:58:00.202975	0.0848	0.0269	0.8883	0.058	positive	NO:sentiment_score
CJMB	"[""CJMB""]"	nGNX3QC0MY	2026-05-20 09:00:00	Callan JMB Expands Long-Standing Public Sector Infrastructure Engagement	Globe Newswire	2.4214	NASDAQ	2026-05-20 09:00:00.343036	0.6469	0.0124	0.3407	0.6344	positive	NO:sentiment_score
LOBO	"[""LOBO""]"	nGNX3Xbwzk	2026-05-20 09:00:00	LOBO Launches Multi-Modal Document Parsing Module and Legal Agent on Claw AI Platform	Globe Newswire	11.23	NASDAQ	2026-05-20 09:00:00.511172	0.1828	0.0103	0.8069	0.1724	positive	NO:sentiment_score
DLPN	"[""DLPN""]"	nACSCmBQ3a	2026-05-20 09:00:01	Elle Communications Clients Take the Stage at NEXUS Global Summit 2026	ACCESSWIRE	9.53	NASDAQ	2026-05-20 09:00:01.068606	0.1614	0.0256	0.813	0.1357	positive	NO:sentiment_score
GNSS	"[""GNSS""]"	nBw2PQrsXa	2026-05-20 09:00:02	Genasys Inc. New Emergency Alert System Provider for Ada County, ID	Business Wire	35.34	NASDAQ	2026-05-20 09:00:02.669696	0.2751	0.0146	0.7103	0.2605	positive	NO:sentiment_score
FJET	"[""FJET""]"	nBw6GSkj2a	2026-05-20 09:00:03	Starfighters Space Expands Mu-g Technologies Partnership with Midland Facility Integration and Joint NASA Microgravity Response	Business Wire	29.29	NYSE AMERICAN	2026-05-20 09:00:03.056161	0.6714	0.009	0.3196	0.6623	positive	NO:sentiment_score
JAGX	"[""JAGX""]"	nACSZrX7Ta	2026-05-20 09:00:03	Jaguar Health to Hold Investor Webcast May 26 Regarding Q1 2026 Financials & Corporate Updates; Jaguar CEO Lisa Conte Presenting May 28 at Lytham Partners Spring 2026 Investor Conference	ACCESSWIRE	9.03	NASDAQ	2026-05-20 09:00:03.061431	0.1536	0.0204	0.8259	0.1332	positive	NO:sentiment_score
CNVS	"[""CNVS""]"	nPnbgWfnYa	2026-05-20 09:00:05	Cineverse Launches New 'So … Real' SVOD Channel on Roku	PR Newswire	18.39	NASDAQ	2026-05-20 09:00:05.233795	0.1505	0.0439	0.8056	0.1066	positive	NO:sentiment_score
MNDO	"[""MNDO""]"	nPn82p1Kda	2026-05-20 09:00:06	MIND Becomes First Data Security Company Accepted into Anthropic's Cyber Verification Program	PR Newswire	15.88	NASDAQ	2026-05-20 09:00:06.046197	0.26	0.0165	0.7236	0.2435	positive	NO:sentiment_score
MLGO	"[""MLGO""]"	nPn6GXKqxa	2026-05-20 09:00:06	MicroAlgo Inc. Develops Quantum Image Edge Extraction Algorithm for Noisy Images	PR Newswire	5.81	NASDAQ	2026-05-20 09:00:06.829628	0.0801	0.0219	0.898	0.0583	positive	NO:sentiment_score
CNSP	"[""CNSP""]"	nACSLjr2ja	2026-05-20 09:02:00	CNS Pharmaceuticals CEO, Rami Levin, Participates in Virtual Investor CEO Connect Segment Highlighting Company's Recent Strategic Transformation Progress	ACCESSWIRE	0.7158	NASDAQ	2026-05-20 09:02:00.402900	0.1602	0.0163	0.8235	0.144	positive	NO:sentiment_score
VTIX	"[""VTIX""]"	nGNX2jKmBw	2026-05-20 09:15:00	Virtuix Expands Into AI-Assisted Neurodivergent Therapy Through Rutgers University Collaboration	Globe Newswire	14.68	NASDAQ	2026-05-20 09:15:00.318091	0.2133	0.0098	0.777	0.2035	positive	NO:sentiment_score
LNAI	"[""LNAI""]"	nPn2tghQra	2026-05-20 09:15:01	LUNAI BIOWORKS, INC. ANNOUNCES REVERSE STOCK SPLIT	PR Newswire	19.89	NASDAQ	2026-05-20 09:15:01.923475	0.0805	0.12	0.7995	-0.0395	neutral	NO:sentiment_score
WETO	"[""WETO""]"	nGNX8nxPkl	2026-05-20 09:20:00	Wetour Robotics Demonstrates Cross-Device AI Agent Interface: One Wristband Controls IoT Devices, PCs and AR Glasses Through Orchestra Edge AI Hub	Globe Newswire	5.7	NASDAQ	2026-05-20 09:20:00.185609	0.1544	0.0125	0.8331	0.1418	positive	NO:sentiment_score
PHR	"[""PHR""]"	nGNX2GLVsr	2026-05-20 09:40:06	Portnoy Law Firm Announces Class Action on Behalf of Phreesia, Inc. Investors	Globe Newswire	46.13	NYSE	2026-05-20 09:40:06.185144	0.1149	0.2538	0.6313	-0.1389	negative	NO:sentiment_score
III	"[""III""]"	nBw5d826La	2026-05-20 10:00:00	ISG to Study Supply Chain Service Providers	Business Wire	33.28	NASDAQ	2026-05-20 10:00:00.477438	0.0849	0.026	0.8891	0.059	positive	NO:sentiment_score
EVTV	"[""EVTV""]"	nPn6SHcPTa	2026-05-20 10:00:02	AZIO AI and EVTV Expand Strategic Brand Visibility at the 2026 Indianapolis 500 Alongside Rahal Letterman Lanigan Racing and Louis Foster	PR Newswire	11.91	NASDAQ	2026-05-20 10:00:02.774405	0.6123	0.0191	0.3686	0.5932	positive	NO:sentiment_score
RUBI	"[""RUBI""]"	nGNX8qsYrl	2026-05-20 10:39:50	Rubico Announces Pricing of $5.0 Million Public Offering	Globe Newswire	0.7566	NASDAQ	2026-05-20 10:39:50.058211	0.1273	0.0176	0.8551	0.1097	positive	NO:sentiment_score
LRE	"[""LRE""]"	nPRrK5191a	2026-05-20 10:57:48	REG-Lancashire Holdings Limited: Director/PDMR Shareholding - Correction	PR Newswire	1.3938	LSE	2026-05-20 10:57:48.886245	0.0851	0.0204	0.8944	0.0647	positive	NO:sentiment_score
EVTV	"[""EVTV""]"	nGNX8xQlJL	2026-05-20 10:59:11	$HAREHOLDER ALERT: The M&A Class Action Firm Announces An Investigation of Envirotech Vehicles, Inc. (NASDAQ: EVTV) 	Globe Newswire	11.91	NASDAQ	2026-05-20 10:59:11.168063	0.1912	0.2586	0.5502	-0.0673	negative	NO:sentiment_score
LEE	"[""LEE""]"	nACSyWbXGa	2026-05-20 11:00:00	Lee Enterprises, Inc. (LEE) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Investors to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	5.91	NASDAQ	2026-05-20 11:00:00.894843	0.2851	0.0385	0.6764	0.2466	positive	NO:sentiment_score
UHG	"[""UHG""]"	nACSG8hpRa	2026-05-20 11:00:02	UHG INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that United Homes Group, Inc. Shareholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	11.21	NASDAQ	2026-05-20 11:00:02.732522	0.1251	0.302	0.5729	-0.1769	negative	NO:sentiment_score
GAIA	"[""GAIA""]"	nACSBNBgDa	2026-05-20 11:00:03	Gaia, Inc. (GAIA) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Shareholders to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	17.79	NASDAQ	2026-05-20 11:00:03.143451	0.1805	0.0377	0.7819	0.1428	positive	NO:sentiment_score
INM	"[""INM""]"	nGNXc28qDh	2026-05-20 11:02:37	$HAREHOLDER ALERT: The M&A Class Action Firm Announces An Investigation of InMed Pharmaceuticals, Inc. (NASDAQ: INM) 	Globe Newswire	3.31	NASDAQ	2026-05-20 11:02:37.198051	0.17	0.1959	0.6341	-0.0258	neutral	NO:sentiment_score
GLOO	"[""GLOO""]"	nBw28J6Nga	2026-05-20 11:50:00	AI is Becoming a Spiritual Authority, Even Among Practicing Christians	Business Wire	5.2	NASDAQ	2026-05-20 11:50:00.144054	0.2456	0.0284	0.726	0.2172	positive	NO:sentiment_score
SLE	"[""SLE""]"	nGNX7DzCSj	2026-05-20 12:00:00	Super League Introduces Job City By Indeed On Roblox	Globe Newswire	1.13	NASDAQ	2026-05-20 12:00:00.413138	0.1406	0.1265	0.7328	0.0141	neutral	NO:sentiment_score
ATRA	"[""ATRA""]"	nBw3jh6bXa	2026-05-20 12:00:00	Deadline Soon: Atara Biotherapeutics, Inc. (ATRA) Shareholders Who Lost Money Urged To Contact The Law Offices of Frank R. Cruz About Securities Fraud Lawsuit	Business Wire	4.86	NASDAQ	2026-05-20 12:00:00.653720	0.113	0.3312	0.5558	-0.2182	negative	NO:sentiment_score
PHR	"[""PHR""]"	nGNXsCxM8	2026-05-20 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Phreesia, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	46.13	NYSE	2026-05-20 12:00:00.929880	0.1708	0.2267	0.6025	-0.0559	negative	NO:sentiment_score
UHG	"[""UHG""]"	nNFC1KxPF5	2026-05-20 12:00:15	Bronstein, Gewirtz & Grossman LLC Urges United Homes Group, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	11.21	NASDAQ	2026-05-20 12:00:15.584798	0.1505	0.2528	0.5966	-0.1023	negative	NO:sentiment_score
HMR	"[""HMR""]"	nNFC6v4Kr	2026-05-20 12:26:12	Market One: Homerun Resources Advances Bankable Feasibility Study for Brazil's First Dedicated Solar Glass Plant	Newsfile Corp	5.24		2026-05-20 12:26:12.350405	0.6609	0.011	0.3281	0.6499	positive	NO:sentiment_score
EVTV	"[""EVTV""]"	nBw1GDbtZa	2026-05-20 13:18:00	EVTV Stock Alert: Halper Sadeh LLC is Investigating Whether Envirotech Vehicles, Inc. is Obtaining a Fair Price for its Shareholders	Business Wire	11.91	NASDAQ	2026-05-20 13:18:00.132286	0.1369	0.1523	0.7108	-0.0155	neutral	NO:sentiment_score
