Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
NTHI	"[""NTHI""]"	nNFC5lLYWZ	08:35:12.912	2026-06-15	08:35:13.077	08:35:13.246	WSTPR Catalyst Watch: NeOnc Strengthens Capital Position Ahead of Potentially Transformational Neuro-Oncology Updates	Newsfile Corp	3.84	NASDAQ	4.75	5710.8	227.729	2026-06-15 08:35:13.272082	0.9483	0.0171	0.0346	0.9312	positive	OK	accepted:1012	sentiment_ack	0.4572	0.547	0.4572	0.8354	0.4819	2026-06-15 08:35:13.870786
WLDS	"[""WLDS"", ""WLDSW""]"	nGNX1SMyvp	08:45:00.047	2026-06-15	08:45:00.301	08:45:00.526	Wearable Devices to Unveil GenAI-Powered Intent-Based Interface Platform and Next-Gen Mudra Pro Flagship at AWE 2026	Globe Newswire	3.53	NASDAQ	0.7801	1436.0	555.5945	2026-06-15 08:45:00.548580	0.205	0.0088	0.7862	0.1962	positive	OK	accepted:1017	sentiment_ack	0.188	0.1723	0.1464	0.2309	0.1504	2026-06-15 08:45:02.310953
ENTX	"[""ENTX"", ""5DT""]"	nGNX2NHgxw	08:45:00.058	2026-06-15	08:45:00.349	08:45:00.557	ENDO 2026 Oral Presentation Highlights Comparative Clinical Data for Entera’s Breakthrough Single Tablet EB613 (First-in-Class Oral PTH(1-34) Anabolic for Osteoporosis)	Globe Newswire	40.05	NASDAQ	1.23	28500.0	1229.8125	2026-06-15 08:45:00.591195	0.225	0.0251	0.7498	0.1999	positive	OK	accepted:1019	sentiment_ack	0.3836	0.4914	0.3836	0.7892	0.4096	2026-06-15 08:45:02.528689
CETY	"[""CETY""]"	nGNX7YNcmS	09:00:00.100	2026-06-15	09:00:00.508	09:00:03.100	CETY Partnership With Sagacity Yields Success in Design and Manufacture of Advanced ORC Components, Significantly Reducing System Costs and Strengthening Supply Chain Efficiency	Globe Newswire	10.41	NASDAQ	1.0	1990.5	475.0962	2026-06-15 09:00:03.117193	0.8718	0.0107	0.1175	0.8611	positive	OK	accepted:1011	sentiment_ack	0.6062	0.7049	0.4661	0.8782	0.6025	2026-06-15 09:00:04.054454
XBIT	"[""XBIT""]"	nGNXbMtn1q	09:00:00.152	2026-06-15	09:00:00.570	09:00:03.313	XBiotech Launches Phase II Clinical Trial Evaluating Vilamakitug for the Treatment of Active Axial Spondyloarthritis	Globe Newswire	23.07	NASDAQ	2.34	20900.0	700.7273	2026-06-15 09:00:03.338539	0.6795	0.0238	0.2967	0.6558	positive	OK	accepted:1015	sentiment_ack	0.4156	0.4879	0.3787	0.7668	0.3113	2026-06-15 09:00:04.601429
WALD	"[""WALD""]"	nGNX87JgcY	09:00:00.222	2026-06-15	09:00:00.653	09:00:03.789	Obagi Medical Announces FDA Approval of Obagi® saypha® ChIQ™ Injectable Hyaluronic Acid Gel	Globe Newswire	47.24	NASDAQ	1.86	12540.0	4861.3333	2026-06-15 09:00:03.836842	0.7803	0.0166	0.2031	0.7638	positive	OK	accepted:1006	sentiment_ack	0.5206	0.5789	0.4744	0.7883	0.477	2026-06-15 09:00:05.198205
CUPR	"[""CUPR""]"	nGNXVg3gv	09:00:00.354	2026-06-15	09:00:01.153	09:00:04.370	Cuprina Receives U.S. FDA 510(k) Clearance for MEDIFLY Maggots — the First U.S. Clearance for a Lucilia cuprina Maggot Debridement Product	Globe Newswire	0.92	NASDAQ	3.97	28.0	254.17	2026-06-15 09:00:04.452532	0.7141	0.0191	0.2667	0.695	positive	OK	accepted:1000	sentiment_ack	0.3238	0.4046	0.2969	0.7821	0.2523	2026-06-15 09:00:05.643064
HUHU	"[""HUHU""]"	nGNX5bCJp1	09:00:00.379	2026-06-15	09:00:01.399	09:00:04.543	HUHUTECH Commercializes Nano-Aerogel Insulation Technology Through New Japanese Semiconductor Project	Globe Newswire	6.95	NASDAQ	8.88	19000.0	457.2	2026-06-15 09:00:04.578810	0.2302	0.0086	0.7612	0.2216	positive	OK	accepted:1010	sentiment_ack	0.4801	0.5819	0.3653	0.8262	0.4258	2026-06-15 09:00:06.008214
COSM	"[""COSM""]"	nGNXbhB909	09:00:00.368	2026-06-15	09:00:01.550	09:00:06.324	Cosmos Health Provides Update on United States Portfolio; Four 18 Series Products Introduced With Projected Annualized Revenue Over $22.7M and Approximately $17.0M Gross Profit	Globe Newswire	33.18	NASDAQ	0.21	59.4	1473.4354	2026-06-15 09:00:06.346476	0.2751	0.0181	0.7067	0.257	positive	OK	accepted:1004	sentiment_ack	0.4874	0.6249	0.3987	0.8822	0.3823	2026-06-15 09:00:06.924881
MNTN	"[""MNTN""]"	nBwbQV2lGa	09:00:00.777	2026-06-15	09:00:01.872	09:00:07.696	MNTN Brings Advanced Data Attribution to CTV with First of its Kind HubSpot Integration	Business Wire	16.43	NYSE	8.68	1507.7	3640.9272	2026-06-15 09:00:07.718922	0.2789	0.0106	0.7105	0.2683	positive	OK	accepted:1009	sentiment_ack	0.3699	0.4844	0.3331	0.7773	0.4021	2026-06-15 09:00:08.568724
PAVS	"[""PAVS""]"	nACSCZGFXa	09:00:00.856	2026-06-15	09:00:01.817	09:00:07.643	PAVS Announces Termination of the Sales Agreement for its At-the-Market Offering with AC Sunshine Securities	ACCESSWIRE	0.99	NASDAQ	0.208	0.7	497.3161	2026-06-15 09:00:07.664527	0.0271	0.7937	0.1792	-0.7666	negative	BAD	accepted:1008	sentiment_ignored	0.0908	0.1012	0.0494	0.2833	0.0585	2026-06-15 09:00:08.766547
EXYN	"[""EXYN""]"	nACSCtVJca	09:00:01.185	2026-06-15	09:00:01.997	09:00:07.961	Join Exyn Technologies' Exclusive Live Investor Webinar and Q&A Session on June 30	ACCESSWIRE	3.89	NASDAQ	5.92	2180.1	297.5785	2026-06-15 09:00:07.997519	0.0915	0.035	0.8736	0.0565	positive	BAD	accepted:1018	sentiment_bad_released	0.4016	0.4282	0.2214	0.6735	0.2035	2026-06-15 09:00:09.615031
SOAR	"[""SOAR""]"	nBwc5MBCRa	09:00:01.262	2026-06-15	09:00:02.084	09:00:08.018	Volato Advances AI Infrastructure Strategy Following Multiple Unsolicited LOIs as Vaunt ARR Reaches $4.0 Million	Business Wire	27.51	NYSE AMERICAN	0.2024	58.7	1098.7816	2026-06-15 09:00:08.077287	0.8118	0.0131	0.175	0.7987	positive	OK	accepted:1002	sentiment_ignored	0.6943	0.7179	0.5966	0.856	0.6055	2026-06-15 09:00:09.773340
ENGN	"[""ENGN""]"	nBw3w5vRfa	09:00:01.931	2026-06-15	09:00:02.874	09:00:08.286	enGene Reports Second Quarter 2026 Financial Results and Provides Business Update	Business Wire	27.87	NASDAQ	1.62	5505.1	1833.2	2026-06-15 09:00:08.311916	0.0633	0.0313	0.9053	0.032	neutral	BAD	accepted:1001	sentiment_bad_released	0.2985	0.3292	0.2985	0.8306	0.4212	2026-06-15 09:00:10.699626
NXDT	"[""NXDT""]"	nPn2mgpYqa	09:00:25.765	2026-06-15	09:00:25.859	09:00:25.931	NexPoint Diversified Real Estate Trust Announces Investor Update Call	PR Newswire	43.88	NYSE	4.93	20900.0	8015.6154	2026-06-15 09:00:25.948334	0.0961	0.0837	0.8201	0.0124	neutral	BAD	accepted:1012	sentiment_bad_released	0.1237	0.0573	0.0505	0.0809	0.0522	2026-06-15 09:00:26.200285
SLMT	"[""SLMT""]"	nBw5T7gJDa	09:08:00.107	2026-06-15	09:08:00.341	09:08:00.554	REG-Qube Research & Technologies LTD Form 8.3	Business Wire	6.48	NASDAQ	4.39	9246.7	310.815	2026-06-15 09:08:00.576063	0.0848	0.0269	0.8883	0.058	positive	BAD	accepted:1017	sentiment_bad_released	0.0	0.0242	0.022	0.0588	0.0185	2026-06-15 09:08:01.229199
DBGI	"[""DBGI""]"	nBw7HND5Na	09:20:00.091	2026-06-15	09:20:00.218	09:20:00.469	DBGI Cancels 7.1 Million Pre-Funded Warrants to Protect Shareholders Pending Legal Investigation	Business Wire	22.92	NASDAQ	0.9449	54.3	652.2713	2026-06-15 09:20:00.486901	0.0156	0.9397	0.0447	-0.924	negative	BAD	accepted:1003	sentiment_bad_released	-0.1394	-0.2508	-0.0827	0.2476	-0.1683	2026-06-15 09:20:01.031515
INCR	"[""INCR""]"	nGNXjrVQn	09:25:00.030	2026-06-15	09:25:00.249	09:25:00.440	InterCure Initiates Strategic Review of U.S. Medical Cannabis Opportunities Following Historic Federal Rescheduling and Completes the Initial closing of Botanico Acquisition	Globe Newswire	31.48	NASDAQ	0.874	6977.2	392.1706	2026-06-15 09:25:00.459943	0.2159	0.0325	0.7516	0.1834	positive	OK	accepted:1008	sentiment_ack	0.3752	0.496	0.3084	0.8449	0.2913	2026-06-15 09:25:01.155574
NCL	"[""NCL""]"	nGNX86sPMr	09:25:00.045	2026-06-15	09:25:00.240	09:25:00.403	Northann Corp. Regains Full Compliance with NYSE American Continued Listing Standards	Globe Newswire	41.74	NYSE AMERICAN	0.163	1381.6	1197.3125	2026-06-15 09:25:00.418917	0.8196	0.0319	0.1485	0.7877	positive	OK	accepted:1002	sentiment_ack	0.4068	0.5615	0.3322	0.7918	0.3885	2026-06-15 09:25:01.389337
EPOW	"[""EPOW""]"	nGNX4Ngzwd	09:27:00.032	2026-06-15	09:27:00.162	09:27:00.275	E-Power Inc. Secures RMB 3 Million Government Grant from Guizhou Provincial Big Data Bureau for AIoT and Blockchain-Driven Smart Manufacturing Platform in the Lithium Battery Anode Industry	Globe Newswire	25.55	NASDAQ	0.5801	5383.3	618.3261	2026-06-15 09:27:00.296793	0.8387	0.0117	0.1496	0.827	positive	OK	accepted:1000	sentiment_ack	0.3875	0.5004	0.3699	0.8085	0.3883	2026-06-15 09:27:00.979330
EDBL	"[""EDBL"", ""EDBLW""]"	nGNX2JNcDv	09:29:00.034	2026-06-15	09:29:00.209	09:29:00.534	Edible Garden Issues Letter Encouraging Shareholders to Vote FOR All Proposals at June 17, 2026, Annual Meeting	Globe Newswire	4.48	NASDAQ	0.2574	158.3	968.9959	2026-06-15 09:29:00.556427	0.2062	0.0146	0.7792	0.1916	positive	OK	accepted:1005	sentiment_ack	0.5233	0.6211	0.4187	0.8527	0.4868	2026-06-15 09:29:01.196190
CYCU	"[""CYCU"", ""CYCUW""]"	nGNX1VLjXR	09:30:00.112	2026-06-15	09:30:00.525	09:30:00.731	Cycurion Responds to Coordinated Stock Attack While Strengthening Core Business	Globe Newswire	9.88	NASDAQ	0.637	23.4	539.1473	2026-06-15 09:30:00.750939	0.855	0.0288	0.1162	0.8262	positive	OK	accepted:1016	sentiment_ack	-0.0815	-0.0637	-0.0612	0.3515	-0.0631	2026-06-15 09:30:01.475196
PHR	"[""PHR""]"	nGNX4t78Q8	09:54:42.033	2026-06-15	09:54:42.129	09:54:42.346	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit with the Schall Law Firm	Globe Newswire	49.77	NYSE	9.06	8.3	170.6064	2026-06-15 09:54:42.370855	0.182	0.0412	0.7768	0.1408	positive	BAD	accepted:1018	sentiment_bad_released	-0.145	-0.0777	-0.0598	0.2813	-0.0493	2026-06-15 09:54:42.665572
WIMI	"[""WIMI""]"	nPn4JtHJMa	10:00:07.912	2026-06-15	10:00:08.193	10:00:08.418	WiMi Implements a Quantum Kernel Convolution (QKC) Scheme Capable of Running on Current Noisy Intermediate-Scale Quantum (NISQ) Devices	PR Newswire	15.3	NASDAQ	1.62	82.7	423.6127	2026-06-15 10:00:08.440829	0.1535	0.0162	0.8303	0.1372	positive	BAD	accepted:1001	sentiment_bad_released	0.3101	0.3827	0.2748	0.6393	0.235	2026-06-15 10:00:08.985908
SLMT	"[""SLMT""]"	nBw2XZs2na	10:25:00.196	2026-06-15	10:25:01.174	10:25:03.251	REG-Millennium Partners, L.P. Form 8.3	Business Wire	6.48	NASDAQ	4.39	63.3	211.2925	2026-06-15 10:25:03.263762	0.0675	0.0266	0.9059	0.041	neutral	BAD	accepted:1004	sentiment_bad_released	0.0	0.0212	0.0215	0.0557	0.0173	2026-06-15 10:25:03.945999
III	"[""III""]"	nBw6nxxdba	11:00:00.422	2026-06-15	11:00:00.589	11:00:02.001	ISG to Study AI Service Providers in Life Sciences	Business Wire	33.57	NASDAQ	4.21	53.2	216.5577	2026-06-15 11:00:02.035577	0.1097	0.0197	0.8706	0.09	positive	BAD	accepted:1011	sentiment_bad_released	0.2886	0.3724	0.2341	0.6477	0.2493	2026-06-15 11:00:02.749546
ANGI	"[""ANGI""]"	nACSDnpHya	11:00:04.783	2026-06-15	11:00:04.891	11:00:06.788	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Angi Inc. (ANGI) and Encourages Shareholders to Learn More About the Investigation	ACCESSWIRE	28.63	NASDAQ	5.59	13.4	185.3452	2026-06-15 11:00:06.823626	0.1946	0.0521	0.7533	0.1424	positive	BAD	accepted:1015	sentiment_bad_released	-0.1472	-0.3407	-0.0723	0.3494	-0.1586	2026-06-15 11:00:07.259060
HLP	"[""HLP""]"	nPn4MVv78a	11:39:28.437	2026-06-15	11:39:28.543	11:39:28.793	Hongli Group Inc. Entered into Strategic Non-Binding MOU with Sidus Energy Storage, Inc. to Explore Potential Advanced Battery Manufacturing Collaboration	PR Newswire	44.35	NASDAQ	0.5	136.5	385.3677	2026-06-15 11:39:28.819604	0.8122	0.0127	0.1751	0.7995	positive	OK	accepted:1010	sentiment_ack	0.5212	0.5942	0.3791	0.7978	0.4053	2026-06-15 11:39:29.401604
VMAR	"[""VMAR""]"	nPn1QYLbqa	11:43:06.355	2026-06-15	11:43:06.505	11:43:06.723	Vision Marine Technologies Announces Reverse Stock Split	PR Newswire	1.89	NASDAQ	0.325	17.5	624.9909	2026-06-15 11:43:06.744705	0.0696	0.0795	0.8509	-0.01	neutral	BAD	accepted:1009	sentiment_bad_released	0.1631	0.1382	0.0709	0.2291	0.083	2026-06-15 11:43:07.208254
FCHL	"[""FCHL""]"	nGNX7NdCvk	12:00:00.114	2026-06-15	12:00:00.586	12:00:02.810	Bronstein, Gewirtz & Grossman LLC Urges Fitness Champs Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	1.27	NASDAQ	1.46	38.8	451.5278	2026-06-15 12:00:02.829274	0.144	0.192	0.664	-0.048	neutral	BAD	accepted:1017	sentiment_bad_released	0.0105	0.0068	0.0209	0.332	-0.0333	2026-06-15 12:00:03.318624
MDBH	"[""MDBH""]"	nGNX2Z6gpV	12:30:00.032	2026-06-15	12:30:00.145	12:30:00.411	PatentVest to Present at Planet MicroCap Las Vegas on June 17	Globe Newswire	4.73	NASDAQ	2.86	4333.3	333.6167	2026-06-15 12:30:00.424152	0.107	0.0198	0.8732	0.0872	positive	BAD	accepted:1014	sentiment_bad_released	0.3684	0.3328	0.1906	0.5344	0.2147	2026-06-15 12:30:00.833977
PHR	"[""PHR""]"	nNFC1h8QD0	13:20:11.164	2026-06-15	13:20:11.307	13:20:11.522	PHR INVESTOR ALERT: Faruqi & Faruqi, LLP Reminds Phreesia (PHR) Investors of Securities Class Action Lawsuit Deadline on July 13, 2026	Newsfile Corp	49.77	NYSE	9.06	8.3	170.6064	2026-06-15 13:20:11.547374	0.1324	0.1047	0.7629	0.0277	neutral	BAD	accepted:1008	sentiment_bad_released	-0.186	-0.3442	-0.1298	0.288	-0.0671	2026-06-15 13:20:12.093452
PHR	"[""PHR""]"	nACSCHdXza	13:30:00.436	2026-06-15	13:30:00.543	13:30:00.836	Securities Lawsuit Alert: Phreesia, Inc. (PHR) Investors - Contact Levi & Korsinsky Before July 13, 2026	ACCESSWIRE	49.77	NYSE	9.06	8.3	170.6064	2026-06-15 13:30:00.856265	0.0752	0.0777	0.8471	-0.0024	neutral	BAD	accepted:1005	sentiment_bad_released	-0.1489	-0.2566	-0.0787	0.5342	-0.1394	2026-06-15 13:30:01.316894
TLSI	"[""TLSI""]"	nACSj5wMta	14:00:00.765	2026-06-15	14:00:00.877	14:00:01.332	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of TriSalus Life Sciences Inc. - TLSI	ACCESSWIRE	38.14	NASDAQ	3.77	18.3	212.6683	2026-06-15 14:00:01.351214	0.0971	0.096	0.8068	0.0011	neutral	BAD	accepted:1016	sentiment_bad_released	-0.3444	-0.4798	-0.1674	0.1116	-0.1981	2026-06-15 14:00:01.846108
PAVS	"[""PAVS""]"	nGNX3nVbPW	14:30:00.193	2026-06-15	14:30:00.436	14:30:00.827	PAVS Announces Pricing of a $10 Million Registered Direct Offering of Class A Ordinary Shares and Pre-Funded Warrants	Globe Newswire	0.99	NASDAQ	0.208	0.7	428.6082	2026-06-15 14:30:00.850411	0.2078	0.0121	0.7802	0.1957	positive	OK	accepted:1018	sentiment_ack	0.1654	0.2077	0.0874	0.4384	0.1343	2026-06-15 14:30:01.431440
DBCA	"[""CHAI"", ""DBCA""]"	nACSrnwX7a	15:40:00.478	2026-06-15	15:40:00.597	15:40:00.944	D. Boral Capital Acted as Exclusive Placement Agent to Core AI Holdings, Inc. (NASDAQ:CHAI) in Connection with its ~$5.4 Million Registered Direct Offering With a New Fundamental Institutional Investor	ACCESSWIRE	28.05	NASDAQ	9.96	697.1	507.3512	2026-06-15 15:40:00.975109	0.4261	0.0153	0.5586	0.4108	positive	OK	accepted:1004	sentiment_ack	0.3284	0.3014	0.1556	0.5166	0.1426	2026-06-15 15:40:01.793640
CHAI	"[""CHAI"", ""DBCA""]"	nACSrnwX7a	15:40:00.478	2026-06-15	15:40:00.597	15:40:00.944	D. Boral Capital Acted as Exclusive Placement Agent to Core AI Holdings, Inc. (NASDAQ:CHAI) in Connection with its ~$5.4 Million Registered Direct Offering With a New Fundamental Institutional Investor	ACCESSWIRE	6.99	NASDAQ	1.32	4.2	418.4482	2026-06-15 15:40:00.973266	0.4261	0.0153	0.5586	0.4108	positive	OK	accepted:1019	sentiment_ack	0.3154	0.2949	0.1589	0.5166	0.1587	2026-06-15 15:40:01.793893
PHR	"[""PHR""]"	nGNXbJbXHw	15:51:00.140	2026-06-15	15:51:00.338	15:51:00.552	PHR UPCOMING DEADLINE: Levi & Korsinsky Alerts Phreesia, Inc. Stockholders of Securities Class Action - Contact the Firm	Globe Newswire	49.77	NYSE	9.06	8.3	170.6064	2026-06-15 15:51:00.583465	0.0884	0.0793	0.8323	0.0091	neutral	BAD	accepted:1012	sentiment_bad_released	-0.2414	-0.3219	-0.146	0.0915	-0.1176	2026-06-15 15:51:01.104191
BIRD	"[""BIRD""]"	nGNX2Pj53n	16:05:00.269	2026-06-15	16:05:00.440	16:05:04.701	Allbirds Announces Record Date for the Asset Sale Dividend	Globe Newswire	5.71	NASDAQ	3.66	847.9	396.125	2026-06-15 16:05:04.715463	0.0944	0.0449	0.8607	0.0494	neutral	BAD	accepted:1006	sentiment_bad_released	-0.1062	-0.0183	0.0058	0.0039	0.0102	2026-06-15 16:05:05.031130
TONX	"[""TONX""]"	nGNXbrGZyf	16:05:00.316	2026-06-15	16:05:01.119	16:05:05.154	TON Strategy Company Highlights Toncoin Rebrand to Gram as TON Ecosystem Advances Telegram-Native Currency Identity	Globe Newswire	40.65	NASDAQ	3.15	14250.0	3469.1538	2026-06-15 16:05:05.176537	0.7094	0.0126	0.278	0.6968	positive	OK	accepted:1011	sentiment_ack	0.434	0.5442	0.3533	0.7347	0.3877	2026-06-15 16:05:05.973396
YMAT	"[""YMAT""]"	nGNX5SPg75	16:05:00.551	2026-06-15	16:05:01.623	16:05:06.492	J-Star Holding Announces Receipt of Nasdaq Delisting Determination; Class A Ordinary Shares Expected to Continue Trading Pending Nasdaq Hearings Panel Review	Globe Newswire	7.89	NASDAQ	0.5987	196.4	388.3186	2026-06-15 16:05:06.519092	0.1427	0.0179	0.8395	0.1248	positive	BAD	accepted:1015	sentiment_bad_released	0.0383	-0.0084	0.0415	0.2665	-0.0078	2026-06-15 16:05:07.131876
RRGB	"[""RRGB""]"	nPn95p2gva	16:05:00.445	2026-06-15	16:05:01.815	16:05:07.307	RED ROBIN GOURMET BURGERS, INC. ANNOUNCES TWO ADDITIONAL REFRANCHISING AGREEMENTS	PR Newswire	15.32	NASDAQ	5.1	8278.6	1127.2143	2026-06-15 16:05:07.330207	0.1959	0.0271	0.7769	0.1688	positive	BAD	accepted:1010	sentiment_bad_released	0.5359	0.6692	0.4677	0.8527	0.3314	2026-06-15 16:05:07.945191
DOMO	"[""DOMO""]"	nBw9YHwpza	16:05:00.532	2026-06-15	16:05:02.211	16:05:07.562	Domo Announces First Quarter Fiscal 2027 Financial Results and Provides Strategic Alternatives Process Update	Business Wire	37.68	NASDAQ	3.02	2074.9	2383.7204	2026-06-15 16:05:07.608729	0.0952	0.0203	0.8845	0.0748	positive	BAD	accepted:1009	sentiment_bad_released	0.4692	0.5417	0.4291	0.8644	0.4389	2026-06-15 16:05:08.516997
BQ	"[""BQ""]"	nPn4K96Ksa	16:10:00.244	2026-06-15	16:10:00.456	16:10:00.835	Boqii Holding Limited Provides Response to Unusual Market Action	PR Newswire	2.8	NYSE AMERICAN	1.05	49.7	378.0895	2026-06-15 16:10:00.845483	0.3001	0.059	0.6409	0.2412	positive	OK	accepted:1017	sentiment_ack	0.2012	0.185	0.0896	0.3858	0.0931	2026-06-15 16:10:01.243401
BYAH	"[""BYAH""]"	nGNX6cC24W	16:30:00.107	2026-06-15	16:30:00.490	16:30:01.985	Park Ha Biological Technology Co., Ltd. Announces Closing of $2.0 Million Registered Direct Offering	Globe Newswire	1.02	NASDAQ	1.47	35.4	295.163	2026-06-15 16:30:02.006860	0.0703	0.0371	0.8925	0.0332	neutral	BAD	accepted:1002	sentiment_bad_released	0.0965	0.0484	0.0572	0.2018	0.0689	2026-06-15 16:30:02.574930
SKYA	"[""SKYA""]"	nGNX4PrFLT	16:30:00.194	2026-06-15	16:30:00.582	16:30:02.582	SkyAI Confirms Receipt of Unsolicited, Non-Binding Proposal from Forward Industries	Globe Newswire	27.64	NASDAQ	1.12	7328.6	509.0755	2026-06-15 16:30:02.614768	0.4063	0.0099	0.5837	0.3964	positive	OK	accepted:1013	sentiment_ack	0.1482	0.1808	0.0822	0.3668	0.1087	2026-06-15 16:30:02.970714
VTGN	"[""VTGN""]"	nBw3PS1S5a	16:30:00.297	2026-06-15	16:30:01.114	16:30:04.089	Vistagen Reports Fiscal Year 2026 Financial Results and Provides Corporate Update	Business Wire	33.78	NASDAQ	0.5762	912.8	1112.7157	2026-06-15 16:30:04.122021	0.0834	0.0311	0.8856	0.0523	positive	BAD	accepted:1005	sentiment_bad_released	0.5495	0.6535	0.5495	0.8672	0.5524	2026-06-15 16:30:04.892864
ATHR	"[""ATHR""]"	nACS5MLmma	16:52:00.860	2026-06-15	16:52:00.963	16:52:01.208	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aether Holdings, Inc. - ATHR	ACCESSWIRE	4.12	NASDAQ	3.11	34200.0	276.6	2026-06-15 16:52:01.227882	0.1031	0.1145	0.7825	-0.0114	neutral	BAD	accepted:1016	sentiment_bad_released	-0.122	-0.2133	-0.0668	0.17	-0.0528	2026-06-15 16:52:01.579903
LSTA	"[""LSTA""]"	nNFC6z6F4y	16:53:09.052	2026-06-15	16:53:09.154	16:53:09.280	SHAREHOLDER NOTICE: Brodsky & Smith Announces an Investigation of Lisata Therapeutics, Inc. (LSTA)	Newsfile Corp	7.41	NASDAQ	3.56	7003.6	675.2979	2026-06-15 16:53:09.294295	0.1099	0.1928	0.6974	-0.0829	negative	BAD	accepted:1001	sentiment_bad_released	0.161	0.2054	0.1021	0.2268	0.0823	2026-06-15 16:53:09.633496
EXOD	"[""EXOD""]"	nGNXbTWJ6B	17:00:00.120	2026-06-15	17:00:00.486	17:00:02.581	Exodus Movement, Inc. May 2026 Treasury Update and Monthly Metrics	Globe Newswire	4.19	NYSE AMERICAN	6.04	22800.0	1853.1538	2026-06-15 17:00:02.602501	0.0649	0.0789	0.8562	-0.014	neutral	BAD	accepted:1004	sentiment_bad_released	0.1919	0.2049	0.1139	0.6066	0.1811	2026-06-15 17:00:03.007873
AIBZ	"[""AIBZ"", ""AIBZU""]"	nNFC2FHxFL	17:00:16.543	2026-06-15	17:00:16.716	17:00:17.141	Bitzero Holdings Inc. Marks First Week of Trading on Nasdaq, Highlights Advanced Pipeline of AI and HPC Infrastructure Assets Across Nordic Markets	Newsfile Corp	46.06	NASDAQ	5.61	1429.6	361.8024	2026-06-15 17:00:17.161203	0.793	0.0115	0.1955	0.7815	positive	OK	accepted:1019	sentiment_ack	0.4655	0.5386	0.4183	0.7691	0.3863	2026-06-15 17:00:17.967312
PHR	"[""PHR""]"	nNFCbStLGf	17:02:53.736	2026-06-15	17:02:53.836	17:02:54.043	PHR FINAL DEADLINE: ROSEN, A HIGHLY RECOGNIZED LAW FIRM, Encourages Phreesia, Inc. Investors with Losses in Excess of $100K to Secure Counsel Before Important Deadline in Securities Class Action - PHR	Newsfile Corp	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-15 17:02:54.067662	0.2699	0.0477	0.6824	0.2223	positive	OK	accepted:1012	sentiment_bad_released	0.2128	0.2633	0.1485	0.539	0.1005	2026-06-15 17:02:54.475679
SHOTU	"[""SHOTU""]"	nGNX7yT8c7	17:15:00.093	2026-06-15	17:15:00.215	17:15:00.484	RMG ML Sports Holdings Announces Closing of Partial Exercise of Over-Allotment Option in Connection with its Initial Public Offering	Globe Newswire		NASDAQ	10.0	20520.0	15523.1667	2026-06-15 17:15:00.502746	0.0649	0.0674	0.8677	-0.0025	neutral	BAD	accepted:1006	sentiment_bad_released	0.4809	0.3679	0.1349	0.6113	0.192	2026-06-15 17:15:00.951816
ATHR	"[""ATHR""]"	nACSjJK00a	17:30:00.516	2026-06-15	17:30:00.687	17:30:01.903	Did You Lose Money Investing in Aether Holdings, Inc.? Robbins LLP Urges Investors with Significant Losses to Contact the Firm for Information About Their Rights Against ATHR	ACCESSWIRE	4.12	NASDAQ	3.11	34200.0	276.6	2026-06-15 17:30:01.921101	0.2073	0.06	0.7327	0.1474	positive	OK	accepted:1010	sentiment_bad_released	-0.0264	-0.0542	-0.0062	0.1962	-0.0265	2026-06-15 17:30:02.470735
FJET	"[""FJET""]"	nACSfFvL8a	17:30:01.078	2026-06-15	17:30:01.176	17:30:02.246	Did You Lose Money Investing in Starfighters Space, Inc.? Robbins LLP Urges Investors With Significant Losses to Contact The Firm For Information About Their Rights Against FJET	ACCESSWIRE	32.87	NYSE AMERICAN	6.18	86.9	528.6556	2026-06-15 17:30:02.289120	0.1708	0.029	0.8002	0.1417	positive	BAD	accepted:1009	sentiment_bad_released	-0.1503	-0.2629	-0.0723	0.2529	-0.1315	2026-06-15 17:30:02.751068
NKLR	"[""NKLR""]"	nGNX1d4HGT	17:38:23.545	2026-06-15	17:38:23.817	17:38:24.088	Terra Innovatum Global Files 2025 Form 10‑K and Reports Fourth Quarter and Fiscal Year 2025 Financial Results	Globe Newswire	21.74	NASDAQ	5.23	3705.0	1024.0444	2026-06-15 17:38:24.123514	0.1508	0.1032	0.746	0.0476	neutral	BAD	accepted:1011	sentiment_bad_released	0.5465	0.6218	0.5192	0.8212	0.4284	2026-06-15 17:38:24.887435
