Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)
TACT	"[""TACT""]"	nNFCb4byDb	2026-05-06 07:00:20	TransAct Technologies to Present at the LD Micro Invitational XVI	Newsfile Corp	9.02	0.1108	0.0139	0.8753	0.0969	positive		NO:Trades/sec	NASDAQ	3.63	8.04
BTCT	"[""BTCT""]"	nNFC7myRml	2026-05-06 07:00:21	Bitcoin Treasury Corporation Provides April Update on Normal Course Issuer Bid	Newsfile Corp	9.5	0.0846	0.029	0.8864	0.0557	positive		NO:Trades/sec			
PLUR	"[""PLUR""]"	nNFC5HQY0x	2026-05-06 07:00:23	Plurilock Launches CPCSC Readiness Program for Canadian Defense Industrial Base	Newsfile Corp	6.51	0.3238	0.0248	0.6514	0.299	positive		NO:Trades/sec			
TA	"[""TAC"", ""TA""]"	nGNXHmlKW	2026-05-06 07:00:58	TransAlta Reports First Quarter Results and Reaffirms Annual Guidance	Globe Newswire		0.3692	0.0385	0.5923	0.3307	positive		NO:Float,Trades/sec	NYSE		
TAC	"[""TAC"", ""TA""]"	nGNXHmlKW	2026-05-06 07:00:58	TransAlta Reports First Quarter Results and Reaffirms Annual Guidance	Globe Newswire	295.09	0.3692	0.0385	0.5923	0.3307	positive		NO:Trades/sec	NYSE	13.19	5.69
RGNX	"[""RGNX""]"	nPn1d13gga	2026-05-06 07:05:00	REGENXBIO to Host Webcast on May 14 to Discuss Topline Results from Pivotal Trial of RGX-202 for Duchenne Muscular Dystrophy	PR Newswire	46.06	0.2668	0.0259	0.7072	0.2409	positive	0.6511627906976745	YES	NASDAQ	10.4	12.43
CYN	"[""CYN""]"	nPn97rq6Xa	2026-05-06 07:05:00	Cyngn Announces Date for First Quarter 2026 Financial Results	PR Newswire	13.18	0.1124	0.0932	0.7944	0.0193	neutral	0.001841959845275373	NO:sentiment_score	NASDAQ	1.7	0.0
LFCR	"[""LFCR""]"	nGNX2YKdCn	2026-05-06 07:05:00	Lifecore Biomedical Reports Financial Results for the First Quarter Ended March 31, 2026, and Provides Corporate Update	Globe Newswire	34.17	0.0578	0.0445	0.8977	0.0133	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.16	0.0
BLCO	"[""BLCO""]"	nBw3qRkbHa	2026-05-06 07:15:00	Bausch + Lomb Announces Second R&D “Teach-in” Webinar	Business Wire	37.56	0.138	0.0351	0.8269	0.1029	positive		NO:Trades/sec	TSX		
XFOR	"[""XFOR""]"	nGNXV0YDC	2026-05-06 07:15:00	X4 Pharmaceuticals Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	70.77	0.0782	0.0411	0.8808	0.0371	neutral	0.036231884057971016	NO:sentiment_score	NASDAQ	4.5	8.17
ALOY	"[""ALOY""]"	nGNX3t9ZV9	2026-05-06 07:22:22	REalloys (NASDAQ: ALOY) Receives Department of War Memorandum on Securing Domestic Heavy Rare Earth Supply Ahead of 2027 Deadline	Globe Newswire	55.15	0.7035	0.0209	0.2756	0.6827	positive	0.9361702127659575	YES	NASDAQ	10.8	14.77
LAW	"[""LAW""]"	nBwnY3F7a	2026-05-06 07:30:00	DISCO Announces First Quarter 2026 Financial Results	Business Wire	24.57	0.1615	0.1636	0.6749	-0.0022	neutral	0.02789400278940028	NO:sentiment_score	NYSE	4.92	4.24
CRON	"[""CRON""]"	nGNX35gnw5	2026-05-06 07:30:00	Cronos Expands Pre-Roll Portfolio with Spinach STIX®	Globe Newswire	193.17	0.3055	0.0093	0.6852	0.2961	positive	0.002077058884619379	YES	NASDAQ	2.7	3.05
ALT	"[""ALT""]"	nGNX7W9NYb	2026-05-06 07:30:00	Altimmune to Report First Quarter 2026 Financial Results and Provide Business Update on May 13, 2026	Globe Newswire	129.26	0.0582	0.035	0.9068	0.0232	neutral	0.014194464158977998	NO:sentiment_score	NASDAQ	3.29	8.94
KURA	"[""KURA""]"	nGNX7Zn3tm	2026-05-06 07:30:00	Kura Oncology to Participate in Bank of America Securities Healthcare Conference	Globe Newswire	86.06	0.175	0.0189	0.8061	0.1562	positive		NO:Trades/sec	NASDAQ	9.61	4.0
VHUB	"[""VHUB""]"	nGNX3cCsF5	2026-05-06 07:30:00	VenHub Highlights Rapid Progress Since Nasdaq Debut Including Expanded Smart Store Deployments, Enhanced Technology Platform and Increased Las Vegas Production Capacity	Globe Newswire	25.0444	0.8989	0.0103	0.0908	0.8886	positive		NO:Trades/sec	NASDAQ	0.87	8.75
MASS	"[""MASS""]"	nBw3hwDq7a	2026-05-06 07:30:00	908 Devices Reports First Quarter 2026 Financial Results and Raises 2026 Revenue Outlook	Business Wire	27.86	0.3213	0.0603	0.6185	0.261	positive		NO:Trades/sec	NASDAQ	8.2	15.66
LUCK	"[""LUCK""]"	nBw3d6JMPa	2026-05-06 07:30:00	Lucky Strike Entertainment Reports Third Quarter Results for Fiscal Year 2026	Business Wire	75.88	0.1759	0.1652	0.659	0.0107	neutral		NO:sentiment_score,Trades/sec	NYSE	8.04	3.74
ASPI	"[""ASPI""]"	nGNX9cHnQ6	2026-05-06 07:30:00	Quantum Leap Energy Appoints Dr. Peter Fiske to Strategic Advisory Board	Globe Newswire	112.87	0.0939	0.0218	0.8842	0.0721	positive		NO:Trades/sec	NASDAQ	5.58	9.84
BVS	"[""BVS""]"	nGNX7slZyb	2026-05-06 07:30:01	Bioventus Reports First Quarter Financial Results	Globe Newswire	46.32	0.2141	0.1209	0.6651	0.0932	positive		NO:Trades/sec	NASDAQ	11.32	-0.53
HLLY	"[""HLLY""]"	nGNX6Tv4qV	2026-05-06 07:30:00	Holley Reports First Quarter 2026 Results	Globe Newswire	76.23	0.0668	0.0634	0.8698	0.0034	neutral		NO:sentiment_score,Trades/sec	NYSE	3.2	-3.03
MDCX	"[""MDCX""]"	nGNX6MjD1h	2026-05-06 07:30:00	Medicus Pharma Announces Results from Pre-Specified Expanded Phase 2 SKNJCT-003 Data Analysis Demonstrating Positive Dose-Response	Globe Newswire	9.61	0.9422	0.0184	0.0394	0.9238	positive		NO:Trades/sec	NASDAQ	0.34	21.43
BTQ	"[""BTQ""]"	nPn5RG0Ga	2026-05-06 07:30:02	BTQ Technologies' QSSN Selected as Core Security Infrastructure for South Korea's First Bank-Led KRW Stablecoin Proof-of-Concept	PR Newswire	95.7	0.5884	0.0112	0.4004	0.5772	positive		NO:Trades/sec	NASDAQ	3.48	22.11
GLMD	"[""GLMD""]"	nPn8dPJfxa	2026-05-06 07:30:02	Tissue Dynamics and Galmed Pharmaceuticals to Develop Human-Centered Chronic Cardiac Fibrosis Platform to Advance Aramchol-Based Therapeutics	PR Newswire	6.1	0.3048	0.0108	0.6845	0.294	positive		NO:Trades/sec	NASDAQ	0.7	22.81
BRAI	"[""BRAI""]"	nPRr69202a	2026-05-06 07:34:46	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	0.0711	0.0375	0.8914	0.0336	neutral	0.125	NO:sentiment_score	LSE		
CAPS	"[""CAPS""]"	nBwx8nvya	2026-05-06 07:35:00	Capstone Publishes Investor FAQ Detailing 72% Reduction in Convertible Principal and Reaffirming FY2026 Guidance	Business Wire	3.7	0.6906	0.1562	0.1532	0.5344	positive	0.5476190476190477	YES	NASDAQ	0.42	7.69
DCGO	"[""DCGO""]"	nBw2zF2b7a	2026-05-06 07:35:00	DocGo Announces Upcoming Participation at the 21st Annual Needham Technology, Media, & Consumer Conference	Business Wire	91.29	0.1753	0.022	0.8027	0.1533	positive	0.000393762797290912	YES	NASDAQ	0.71	2.9
TMC	"[""TMC"", ""TMCR""]"	nACStJ2X1a	2026-05-06 07:45:00	The Metals Royalty Company Inc. Enters Into Definitive Agreement to Acquire a Royalty Interest on Mesabi Metallics Iron Ore Project in Minnesota	ACCESSWIRE	191.16	0.7082	0.0147	0.2771	0.6934	positive	0.11666666666666667	YES	NASDAQ	6.24	20.0
TMCR	"[""TMC"", ""TMCR""]"	nACStJ2X1a	2026-05-06 07:45:00	The Metals Royalty Company Inc. Enters Into Definitive Agreement to Acquire a Royalty Interest on Mesabi Metallics Iron Ore Project in Minnesota	ACCESSWIRE	20.62	0.7082	0.0147	0.2771	0.6934	positive	0.0020964360587002098	YES	NASDAQ	16.84	8.3
TGL	"[""TGL""]"	nGNX9L1GW5	2026-05-06 07:50:00	Treasure Global Appoints YDM Tengku Dato’ Musahiddin Shah Bin Tengku Dato’ Seri Abdul Samad Shah Alhaj to Board of Directors as Independent Director	Globe Newswire	1.33	0.1155	0.0473	0.8372	0.0683	positive	0.027925531914893616	YES	NASDAQ	4.96	16.43
SLP	"[""SLP""]"	nBw1Q2Lqya	2026-05-06 07:55:00	Simulations Plus and NVIDIA Collaborate to Scale GPU-Accelerated, AI-Assisted Modeling Workflows	Business Wire	16.69	0.1973	0.0159	0.7868	0.1814	positive	0.0003992812936713915	YES	NASDAQ	25.23	60.6
BMO	"[""BMO""]"	nPn7hWVjNa	2026-05-06 08:00:00	Media Advisory - BMO Financial Group to Announce its Second Quarter 2026 Results	PR Newswire	705.78	0.1016	0.0472	0.8512	0.0544	positive	0.006491398896462187	NO:Float	TSX		
NVAX	"[""NVAX""]"	nPn1Dk9fra	2026-05-06 08:00:00	Novavax Reports First Quarter 2026 Financial Results and Operational Highlights	PR Newswire	154.93	0.1433	0.0551	0.8016	0.0881	positive	0.29411764705882354	YES	NASDAQ	9.57	17.42
ANNX	"[""ANNX""]"	nGNX7Wqk4q	2026-05-06 08:00:00	Annexon to Present at the Bank of America Securities Health Care Conference 2026	Globe Newswire	143.57	0.0726	0.032	0.8954	0.0407	neutral	0.008286252354048965	NO:sentiment_score	NASDAQ	5.95	4.39
VYX	"[""VYX""]"	nBwbtx2tpa	2026-05-06 08:00:00	Pei Wei Expands NCR Voyix Relationship to Power POS Across Its Restaurants	Business Wire	137.68	0.7098	0.0085	0.2817	0.7013	positive	0.001632208922742111	YES	NYSE	7.39	1.93
11V	"[""FVRR"", ""11V""]"	nGNX1dCLPx	2026-05-06 08:00:00	Fiverr to Present at Upcoming Conferences	Globe Newswire		0.1262	0.0401	0.8337	0.0861	positive		NO:Float,Trades/sec	NYSE		
FRSH	"[""FRSH""]"	nGNX8lnKL5	2026-05-06 08:00:00	Freshworks to Host Financial Analyst Session at Refresh 2026	Globe Newswire	194.27	0.1256	0.0332	0.8412	0.0924	positive	0.07563025210084033	YES	NASDAQ	9.0	5.51
BNZI	"[""BNZI""]"	nGNX6YRbLQ	2026-05-06 08:00:00	Banzai Announces Reverse Stock Split	Globe Newswire	15.38	0.1378	0.1844	0.6778	-0.0466	neutral	0.43859649122807015	NO:sentiment_score	NASDAQ	6.0	4.17
ATLN	"[""ATLN""]"	nGNX5W95jc	2026-05-06 08:00:00	Atlantic International’s Circle8 Group Secures $380 Million Four-Year Technology Services Contract with Dutch Ministry of Education, Culture, and Science	Globe Newswire	10.96	0.9154	0.0152	0.0694	0.9002	positive	0.005929439667951379	YES	NASDAQ	1.85	37.04
PYPD	"[""PYPD""]"	nGNXQym28	2026-05-06 08:00:00	PolyPid to Report First Quarter 2026 Financial Results and Operational Highlights on May 13, 2026	Globe Newswire	7.76	0.0999	0.0489	0.8512	0.051	positive		NO:Trades/sec	NASDAQ	4.59	2.0
FUBO	"[""FUBO""]"	nBw45vGJCa	2026-05-06 08:00:00	Fubo Closed Q2 Fiscal 2026 With Record Global Revenue, Reaffirms Fiscal Year 2026 Guidance and Long-Term Financial Targets	Business Wire	28.7	0.754	0.014	0.2321	0.74	positive		NO:Trades/sec	NYSE	13.45	5.49
FVRR	"[""FVRR"", ""11V""]"	nGNX1dCLPx	2026-05-06 08:00:00	Fiverr to Present at Upcoming Conferences	Globe Newswire	29.94	0.1262	0.0401	0.8337	0.0861	positive	0.002118893466745144	YES	NYSE	11.95	3.46
SGRP	"[""SGRP""]"	nGNX5gwKSk	2026-05-06 08:00:00	SPAR Group, Inc. Announces Timing of Fiscal 2026 First Quarter Results Conference Call	Globe Newswire	11.25	0.0651	0.0774	0.8575	-0.0123	neutral		NO:sentiment_score,Trades/sec	NASDAQ	0.77	5.48
SAFX	"[""SAFX""]"	nACSRFzS8a	2026-05-06 08:00:01	XCF Highlights Importance of Domestic SAF Capacity as Jet Fuel Reaches $4.26 per Gallon Ahead of Planned June Restart	ACCESSWIRE	32.88	0.743	0.024	0.233	0.719	positive		NO:Trades/sec	NASDAQ	0.55	17.02
CMRC	"[""CMRC""]"	nGNX2nTjSv	2026-05-06 08:00:01	Commerce Delivers BigCommerce Payments by PayPal to Simplify Payments and Accelerate Merchant Growth	Globe Newswire	72.67	0.2709	0.0101	0.719	0.2607	positive		NO:Trades/sec	NASDAQ	3.09	0.65
ROOT	"[""ROOT""]"	nBw99y2HYa	2026-05-06 08:00:00	Roots Showcases Summer 2026 Collections	Business Wire	10.72	0.0715	0.0605	0.8681	0.011	neutral		NO:sentiment_score,Trades/sec	TSX		
LOVE	"[""LOVE""]"	nGNX2D5tmp	2026-05-06 08:00:00	Cannara Completes Acquisition of Medican Organic Inc.	Globe Newswire	13.02	0.1767	0.0223	0.801	0.1544	positive		NO:Trades/sec	TSX		
AVX	"[""AVX""]"	nGNX2T7Zm5	2026-05-06 08:00:01	AVAX One Selects ASCENT Consulting as Owner’s Engineer To Advance Behind-the-Meter Critical Power Facility in Alberta	Globe Newswire	72.09	0.4145	0.0094	0.5761	0.4051	positive		NO:Trades/sec	NASDAQ	0.57	11.76
CURR	"[""CURR""]"	nGNX31ZHyG	2026-05-06 08:00:01	Currenc Group Announces Extension of Exclusivity Period for Proposed Reverse Merger with Animoca Brands Corporation Limited	Globe Newswire	0.85	0.27	0.1286	0.6014	0.1413	positive		NO:Trades/sec	NASDAQ	3.96	14.78
GBTG	"[""GBTG""]"	nGNX8x2m2v	2026-05-06 08:00:01	GBTG SHAREHOLDER NOTICE: Kaskela Law Firm Announces Investigation of Global Business Travel Group Inc. Shareholder Buyout and Encourages GBTG Investors to Contact the Firm to Protect their Investment and Legal Rights	Globe Newswire	240.56	0.1367	0.1025	0.7608	0.0341	neutral		NO:sentiment_score,Trades/sec	NYSE	9.47	0.74
TEAD	"[""TEAD""]"	nGNX9pypFp	2026-05-06 08:00:01	Teads and Lumen Research Bring Proven Attention Science to CTV for Omnichannel Impact	Globe Newswire	28.7	0.4654	0.0165	0.5181	0.4489	positive		NO:Trades/sec	NASDAQ	1.19	26.6
QTRX	"[""QTRX""]"	nBw8fbdlka	2026-05-06 08:00:01	Lucent Diagnostics Announces Collaboration with Tempus to Integrate Blood-Based Alzheimer’s Biomarker Testing into Clinical Workflows	Business Wire	38.12	0.8174	0.0099	0.1728	0.8075	positive		NO:Trades/sec	NASDAQ	3.77	14.24
CYH	"[""CYH""]"	nBw8hdc9La	2026-05-06 08:00:01	Community Health Systems, Inc. Announces Early Tender Results for Its Tender Offer for Certain Outstanding Senior Secured Notes	Business Wire	116.64	0.1244	0.0606	0.815	0.0639	positive		NO:Trades/sec	NYSE	2.94	4.26
MIST	"[""MIST""]"	nGNX7JSRXX	2026-05-06 08:00:01	Milestone Pharmaceuticals to Announce First Quarter 2026 Financial Results on May 13, 2026	Globe Newswire	116.46	0.0996	0.0465	0.8539	0.0532	positive		NO:Trades/sec	NASDAQ	2.02	7.45
PDSB	"[""PDSB""]"	nGNX9TFzXj	2026-05-06 08:00:01	PDS Biotech Announces Conference Call and Webcast for 2026 First Quarter Financial Results	Globe Newswire	54.38	0.0705	0.0355	0.894	0.035	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.11	2.78
WRAP	"[""WRAP""]"	nGNX3RsLl7	2026-05-06 08:00:01	Wrap Technologies, Inc. to Report First Quarter 2026 Financial Results on Wednesday, May 13, 2026 at 4:30 p.m. ET	Globe Newswire	36.17	0.0358	0.0424	0.9219	-0.0066	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.52	2.7
TSHA	"[""TSHA""]"	nGNX7qYpmb	2026-05-06 08:00:01	Taysha Gene Therapies Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	235.53	0.0913	0.0449	0.8638	0.0464	neutral		NO:sentiment_score,Trades/sec	NASDAQ	7.3	5.04
SMRT	"[""SMRT""]"	nBw9BKh9Sa	2026-05-06 08:00:01	SmartRent Reports First Quarter 2026 Financial Results	Business Wire	177.1	0.1128	0.0894	0.7977	0.0234	neutral		NO:sentiment_score,Trades/sec	NYSE	1.46	0.0
III	"[""III""]"	nBw4hV6Dxa	2026-05-06 08:00:02	Enterprises in Brazil Advance SAP Optimization Strategies	Business Wire	33.28	0.1591	0.0125	0.8285	0.1466	positive		NO:Trades/sec	NASDAQ	4.19	0.48
INAB	"[""INAB""]"	nGNX7LHJJx	2026-05-06 08:00:02	IN8bio to Showcase Next-Generation T Cell Engager Platform and New Clinical Data at Upcoming R&D Day and Medical Conferences	Globe Newswire	7.65	0.2225	0.0096	0.7679	0.2129	positive		NO:Trades/sec	NASDAQ	1.69	4.32
OGN	"[""OGN""]"	nACStmkLra	2026-05-06 08:00:02	Orogen Royalties Appoints Mr. Chad Wells to the Board of Directors	ACCESSWIRE	258.99	0.0793	0.0237	0.897	0.0557	positive		NO:Trades/sec			
OSS	"[""OSS""]"	nGNX1RKvqs	2026-05-06 08:00:02	One Stop Systems Reports Q1 2026 Results	Globe Newswire	20.98	0.0627	0.0732	0.8641	-0.0105	neutral		NO:sentiment_score,Trades/sec	NASDAQ	16.27	62.05
ERAS	"[""ERAS""]"	nGNX9ry6s	2026-05-06 08:00:02	Erasca to Present at the Bank of America Securities Health Care Conference	Globe Newswire	186.79	0.1423	0.0228	0.8348	0.1195	positive		NO:Trades/sec	NASDAQ	10.95	10.38
BLUW	"[""BLUW""]"	nPn1F2Xhta	2026-05-06 08:00:03	Blue Water Acquisition Corp. IV Announces the Separate Trading of its Class A Ordinary Shares and Warrants Commencing May 11, 2026	PR Newswire	25.98	0.0435	0.0293	0.9272	0.0141	neutral		NO:sentiment_score,Trades/sec	NASDAQ	10.28	0.29
RBBN	"[""RBBN""]"	nPn2N9XRTa	2026-05-06 08:00:03	Ribbon to Attend Key Investor Conferences	PR Newswire	142.47	0.2486	0.0902	0.6612	0.1584	positive		NO:Trades/sec	NASDAQ	2.78	0.72
HLIT	"[""HLIT""]"	nPnbhpfK0a	2026-05-06 08:00:05	Harmonic Defines a New Era of Broadband Connectivity at ANGA COM 2026	PR Newswire	108.08	0.1381	0.0152	0.8467	0.1228	positive		NO:Trades/sec	NASDAQ	12.33	5.75
LOCL	"[""LOCL""]"	nPn39vKg0a	2026-05-06 08:00:07	Local Bounti to Release First Quarter 2026 Financial Results on Wednesday, May 13, 2026	PR Newswire	22.4	0.0433	0.0438	0.9129	-0.0005	neutral		NO:sentiment_score,Trades/sec	NYSE	1.82	8.98
XTNT	"[""XTNT""]"	nPn6B14Nxa	2026-05-06 08:00:08	Xtant Medical Expands Trivium™ Portfolio with the Commercial Launch of Trivium™ Shaped	PR Newswire	117.66	0.4531	0.0131	0.5337	0.44	positive		NO:Trades/sec	NYSE American	0.6	3.45
IEP	"[""IEP""]"	nPnblp1Nca	2026-05-06 08:00:07	Icahn Enterprises L.P. (Nasdaq: IEP) Today Announced Its First Quarter 2026 Financial Results	PR Newswire	83.66	0.1307	0.1102	0.7591	0.0205	neutral		NO:sentiment_score,Trades/sec	NASDAQ	8.4	1.2
AZTR	"[""AZTR""]"	nPn3LWYJGa	2026-05-06 08:00:14	Azitra, Inc. Announces New U.S. Patent Protecting ATR-12 Program	PR Newswire	16.18	0.5468	0.021	0.4323	0.5258	positive		NO:Trades/sec	NYSE American	0.26	13.04
ATNM	"[""ATNM""]"	nPnb24f7sa	2026-05-06 08:00:09	Actinium Pharmaceuticals Announces Three SNMMI 2026 Presentations Highlighting Differentiated Profile of ATNM-400 Across Lung and Prostate Cancer and Radioconjugate Optimization	PR Newswire	30.4	0.6082	0.0158	0.376	0.5924	positive		NO:Trades/sec	NYSE American	1.3	3.17
INVZ	"[""INVZ""]"	nPn6gxJ0ba	2026-05-06 08:00:14	Innoviz Technologies and LOXO Sign Letter of Intent to Power Next-Generation Autonomous Delivery Vehicles with InnovizTwo Long-Range LiDAR	PR Newswire	206.46	0.7336	0.0091	0.2573	0.7245	positive		NO:Trades/sec	NASDAQ	0.77	18.46
NDLS	"[""NDLS""]"	nPn9qLnx0a	2026-05-06 08:00:15	Noodles & Company Teams Up with CRAVINGS™ by Chrissy Teigen to Deliver Spring's Most Craveable Comfort Menu	PR Newswire	3.58	0.4763	0.0298	0.4939	0.4465	positive		NO:Trades/sec	NASDAQ	15.13	31.57
NUVB	"[""NUVB""]"	nPnS54m3a	2026-05-06 08:00:17	Nuvation Bio Announces FDA Acceptance of Supplemental New Drug Application for IBTROZI® (taletrectinib) with Updated Duration of Response in Advanced ROS1-Positive Non-Small Cell Lung Cancer	PR Newswire	244.69	0.8595	0.0145	0.126	0.845	positive		NO:Trades/sec	NYSE	5.17	4.87
LITB	"[""LITB""]"	nPnbM1jla	2026-05-06 08:00:17	LightInTheBox to Report First Quarter 2026 Financial Results on Tuesday, May 12, 2026	PR Newswire	17.2	0.0502	0.0519	0.898	-0.0017	neutral		NO:sentiment_score,Trades/sec	NYSE	2.53	5.42
MEHA	"[""MEHA""]"	nNFC95lpkr	2026-05-06 08:00:23	Functional Brands Inc. Announces Launch of GLP-Squared Injection	Newsfile Corp	19.91	0.0817	0.0248	0.8934	0.0569	positive		NO:Trades/sec	NASDAQ	0.1	0.0
LBTYA	"[""LBTYA""]"	nGNXb1RK3j	2026-05-06 08:01:00	Liberty Global Tech Ventures Announces Investment in AI Security Firm, XBOW	Globe Newswire	167.57	0.1391	0.0154	0.8456	0.1237	positive		NO:Trades/sec	NASDAQ	13.0	8.06
SCNX	"[""SCNX""]"	nGNX5mqr56	2026-05-06 08:05:00	SCIENTURE Announces Third Patent Grant for ARBLI™ (losartan potassium) Oral Suspension, Strengthening Long-Term Market Exclusivity Through 2041	Globe Newswire	20.89	0.9263	0.0137	0.0599	0.9126	positive	0.005608524957936063	YES	NASDAQ	0.43	13.16
APVO	"[""APVO""]"	nACSbR32Ha	2026-05-06 08:05:00	Aptevo Reports 87% Clinical Benefit and 81% Remission in 31 Evaluable Frontline AML Patients Through Cohort 5, Substantially Outperforming Benchmark; RAINIER on Track for 2026 Completion and Phase 2 Dose Selection	ACCESSWIRE	1.18	0.8416	0.0375	0.1209	0.8041	positive	0.0008091805208180079	YES	NASDAQ	6.84	27.85
UAMY	"[""UAMY""]"	nACSb2X1na	2026-05-06 08:07:12	United States Antimony Announces Shawn Winkler Appointed as Interim Chief Financial Officer	ACCESSWIRE	124.14	0.056	0.0813	0.8627	-0.0253	neutral	0.22627737226277372	NO:sentiment_score	NYSE	12.64	13.26
WKSP	"[""WKSP""]"	nACScV5J3a	2026-05-06 08:15:00	Worksport (NASDAQ:WKSP) Appoints Jennifer Kartychak As CFO to Drive Financial Scale-Up	ACCESSWIRE	9.27	0.1207	0.0127	0.8666	0.108	positive	0.0001579778830963665	YES	NASDAQ	1.13	4.63
VNRX	"[""VNRX""]"	nPn527Rgpa	2026-05-06 08:17:00	VolitionRx Announces Submission of Manuscript for Nu.Q® Vet Cancer Test in Cats	PR Newswire	6.37	0.1082	0.0215	0.8703	0.0867	positive	0.044642857142857144	YES	NYSE American	2.78	17.3
ICU	"[""ICU""]"	nGNX96n3FS	2026-05-06 08:20:00	SeaStar Medical to Report First Quarter Financial Results on May 13, 2026	Globe Newswire	3.89	0.0849	0.0528	0.8623	0.0322	neutral	0.0006951202558042541	NO:sentiment_score	NASDAQ	5.06	14.48
IF0G	"[""IFRX"", ""IF0G""]"	nGNX5bkhDg	2026-05-06 08:25:00	InflaRx Announces Advancement of Izicopan in ANCA-Associated Vasculitis and Select Renal Diseases	Globe Newswire		0.8365	0.0149	0.1486	0.8216	positive		NO:Float,Trades/sec	NASDAQ		
IFRX	"[""IFRX"", ""IF0G""]"	nGNX5bkhDg	2026-05-06 08:25:00	InflaRx Announces Advancement of Izicopan in ANCA-Associated Vasculitis and Select Renal Diseases	Globe Newswire	67.95	0.8365	0.0149	0.1486	0.8216	positive	0.005151983513652756	YES	NASDAQ	2.86	46.67
MDRR	"[""MDRR""]"	nBw42k4Yla	2026-05-06 08:30:00	Medalist Diversified, Inc. (NASDAQ: MDRR) Announces DST Sponsor Platform; Inaugural Tesla-Leased Offering Available to Accredited 1031 Investors	Business Wire	0.36	0.489	0.014	0.497	0.4751	positive		NO:Trades/sec	NASDAQ	11.57	-1.87
TALK	"[""TALK""]"	nBw22C8Kda	2026-05-06 08:30:00	Talkspace Expands U.S. Navy Mental Health Support for Sailors and Families	Business Wire	137.21	0.4688	0.0411	0.4901	0.4277	positive	0.0051813471502590676	YES	NASDAQ	5.2	0.0
BLNK	"[""BLNK""]"	nGNX4cGfQW	2026-05-06 08:30:00	Blink Charging Teams with Emobi to Provide EV Charging Access Solutions	Globe Newswire	139.6	0.2073	0.0101	0.7827	0.1972	positive	0.009732360097323601	YES	NASDAQ	0.86	19.44
RWAY	"[""RWAY""]"	nGNX4vS2w1	2026-05-06 08:30:00	Runway Growth Finance Corp. Announces Second Quarter 2026 Dividend of $0.33 per Share	Globe Newswire	33.54	0.1196	0.0543	0.8261	0.0654	positive		NO:Trades/sec	NASDAQ	6.88	-0.86
PLRX	"[""PLRX""]"	nGNX5r4L3C	2026-05-06 08:30:00	Pliant Therapeutics to Participate in the RBC Capital Markets Global Healthcare Conference	Globe Newswire	57.1	0.2834	0.011	0.7056	0.2724	positive		NO:Trades/sec	NASDAQ	1.26	4.13
CMU	"[""CMU""]"	nBwML4Jja	2026-05-06 08:30:00	MFS High Yield Municipal Trust Announces Preliminary Results of Tender Offer	Business Wire	25.49	0.1431	0.0234	0.8335	0.1197	positive		NO:Trades/sec	NYSE	3.58	1.13
GMM	"[""GMM""]"	nGNX9Srl5d	2026-05-06 08:30:00	Global Mofy’s U.S. Subsidiary Eaglepoint AI Selected for NVIDIA Inception Program, Further Strengthening Its Global AI Infrastructure Services Layout	Globe Newswire	45.84	0.8718	0.0122	0.116	0.8597	positive	0.0008330129437395873	YES	NASDAQ	2.4	79.1
BGL	"[""BGL""]"	nGNX6zydt0	2026-05-06 08:30:00	Blue Gold Announces Important Procedural Success in Arbitration Against the Republic of Ghana	Globe Newswire	13.93	0.7823	0.0347	0.183	0.7476	positive	0.012389380530973451	YES	NASDAQ	1.31	11.02
RAND	"[""RAND""]"	nBw4rxZyTa	2026-05-06 08:30:00	Rand Capital Reports First Quarter Fiscal Year 2026 Results	Business Wire	0.71	0.0901	0.0572	0.8527	0.0329	neutral		NO:sentiment_score,Trades/sec	NASDAQ	11.09	2.69
GIFT	"[""GIFT""]"	nGNX5KBYvd	2026-05-06 08:30:00	Giftify’s CardCash Reports Enhanced Fraud Detection Driving Stronger Approved Order Volume in Q1 2026	Globe Newswire	21.57	0.9167	0.0343	0.049	0.8825	positive		NO:Trades/sec	NASDAQ	1.05	6.06
QTI	"[""QTI""]"	nBw5VKD2Ya	2026-05-06 08:30:00	QT Imaging to Hold First Quarter 2026 Conference Call on May 13, 2026	Business Wire	9.39	0.0503	0.0378	0.9119	0.0125	neutral		NO:sentiment_score,Trades/sec	NASDAQ	7.19	5.89
PGY	"[""PGY""]"	nBw3wJxZla	2026-05-06 08:30:00	Pagaya to Participate in Upcoming Investor Conferences and Events	Business Wire	62.42	0.1173	0.0125	0.8703	0.1048	positive	0.04962779156327544	YES	NASDAQ	14.99	3.38
