Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	LastDailyClose	itiBaseline	tradeSizeBaseline	Sentiment	ClerkArm	ClerkSentiment	Created	ArrivalDate	CurlTime	MktCap	DailyHigh($)	DailyHigh(%)	Headline-RBscore
STG	"[""STG"", ""S790Y""]"	nGNX1ZDTK5	2026-05-26 04:30:01	Sunlands Technology Group Announces Unaudited First Quarter 2026 Financial Results	Globe Newswire	4.79	NYSE	2026-05-26 04:30:01.647294	0.1112	0.1358	0.753	-0.0246	neutral	NO:sentiment_score	0.0114	-0.0528	0.0193	0.9087	0.0041												3.4	25.46	50
SHMD	"[""SHMD""]"	nGNXPjDdt	2026-05-26 05:24:49	SCHMID Group N.V. Announces Various Share Issuances to Off-set Liabilities, to Directors & Officers and Key Employees and for Convertible Notes Conversions	Globe Newswire	5.89	NASDAQ	2026-05-26 05:24:49.772113	0.0606	0.0148	0.9246	0.0458	neutral	NO:sentiment_score	0.3592	0.4354	0.1992	0.8479	0.164												8.18	11.6	60
CAST	"[""CAST""]"	nBw8spj8ta	2026-05-26 06:00:02	FreeCast Signs Agreement with FPUnet to Bring Streaming Platform Services to More Than 30,000 Homes Across Fort Pierce Region	Business Wire	16.33	NASDAQ	2026-05-26 06:00:02.667726	0.8645	0.0097	0.1258	0.8548	positive	YES	0.377	0.4114	0.2492	0.7982	0.4012												1.36	29.52	64
BGIN	"[""BGIN""]"	nGNXbvl9dD	2026-05-26 06:00:04	BGIN BLOCKCHAIN LIMITED Launches ASIC Chip Customization Solutions Business and Completes Inaugural Customer Delivery	Globe Newswire	43.35	NASDAQ	2026-05-26 06:00:04.356492	0.3116	0.0119	0.6766	0.2997	positive	NO:sentiment_score	0.2781	0.3583	0.1822	0.7664	0.2355												3.59	7.49	50
AUUD	"[""AUUD""]"	nGNX9ZDb71	2026-05-26 06:00:04	Auddia Reports Strong Artist and Industry Response to Discovr Radio’s Toronto Debut at Departure Festival + Conference, Identifies City as Key Growth Hub	Globe Newswire	0.45	NASDAQ	2026-05-26 06:00:04.590707	0.8761	0.0136	0.1103	0.8626	positive	YES	0.3257	0.3779	0.2133	0.7989	0.3959												1.6	3.23	58
SNT	"[""SNT""]"	nPnbz7WGxa	2026-05-26 06:00:09	Senstar Technologies Corporation Reports First Quarter 2026 Financial Results	PR Newswire	13.48	NASDAQ	2026-05-26 06:00:09.402314	0.1612	0.082	0.7568	0.0792	positive	NO:sentiment_score	-0.0131	-0.0461	-0.002	0.8887	0.0352												2.84	1.79	50
TTGT	"[""TTGT""]"	nBw2mFDXza	2026-05-26 06:20:00	Omdia: European Smartphone Market Grows 2% in 1Q26 as Prices Hit Record High	Business Wire	29.16	NASDAQ	2026-05-26 06:20:00.409395	0.9133	0.0197	0.0671	0.8936	positive	YES	0.4172	0.4845	0.3532	0.9073	0.4774												5.02	4.15	58
GOLD	"[""GLDG"", ""GOLD""]"	nPn2591Q9a	2026-05-26 06:30:03	GoldMining Commences 2026 Exploration Drilling Program at its Yarumalito Gold-Copper Project, Colombia	PR Newswire	18.23	NYSE AMERICAN	2026-05-26 06:30:03.490773	0.1564	0.0221	0.8216	0.1343	positive	NO:sentiment_score	0.1938	0.2337	0.1274	0.6513	0.2155												44.02	1.78	50
JG	"[""JG""]"	nGNX7vbkb1	2026-05-26 06:30:04	Aurora Mobile Limited Announces First Quarter 2026 Unaudited Financial Results	Globe Newswire	4.31	NASDAQ	2026-05-26 06:30:04.737416	0.1142	0.1309	0.7549	-0.0167	neutral	NO:sentiment_score	0.36	0.4442	0.2297	0.9141	0.3655												6.25	6.66	50
UP	"[""UP""]"	nPnSVV4ma	2026-05-26 06:55:00	Wheels Up Lead Strategic Investor Delta Air Lines Agrees to Extend Lock-Up	PR Newswire	22.37	NYSE	2026-05-26 06:55:00.799466	0.528	0.1122	0.3598	0.4158	positive	NO:sentiment_score	0.3437	0.447	0.1832	0.7694	0.2815												9.7	7.54	50
MX	"[""MX""]"	nBwb6BT0fa	2026-05-26 06:55:00	Magnachip to Showcase MV MOSFET Portfolio for AI Servers and Data Centers Alongside Its Broader Power Semiconductor Portfolio at PCIM Europe 2026	Business Wire	26.61	NYSE	2026-05-26 06:55:00.860427	0.2388	0.0099	0.7513	0.229	positive	NO:sentiment_score	0.2753	0.322	0.1517	0.6547	0.1941												6.85	24.09	63
BUDA	"[""BUDA""]"	nBwChvzZa	2026-05-26 07:00:04	Buda Juice Dual Lists on the NYSE Texas Exchange	Business Wire	3.9	NYSE AMERICAN	2026-05-26 07:00:04.580477	0.173	0.0477	0.7793	0.1254	positive	NO:sentiment_score	0.3976	0.5545	0.326	0.8376	0.2783												9.25	5.59	50
RNAC	"[""RNAC""]"	nGNX6rTrQD	2026-05-26 07:00:27	Cartesian Therapeutics Secures up to $150 Million of Non-Dilutive Financing from K2 HealthVentures and Expects Topline Data from the Phase 3 AURORA Trial in First Quarter 2027	Globe Newswire	10.63	NASDAQ	2026-05-26 07:00:27.232752	0.5717	0.012	0.4163	0.5597	positive	NO:sentiment_score	0.3666	0.4882	0.3176	0.861	0.5021												8.22	21.78	100
CLYM	"[""CLYM""]"	nGNX6rCnTK	2026-05-26 07:00:28	Climb Bio to Present on CLYM116 and Budoprutug Programs at European Renal Association (ERA) Congress 2026	Globe Newswire	47.34	NASDAQ	2026-05-26 07:00:28.856019	0.1247	0.0261	0.8492	0.0987	positive	NO:sentiment_score	0.3037	0.3893	0.2331	0.7983	0.2039												11.75	6.82	50
CRBP	"[""CRBP""]"	nGNX2tH2Lb	2026-05-26 07:00:31	Corbus Pharmaceuticals Reports Updated CRB-701 Phase 1/2 Clinical Data Demonstrating Robust Activity in 2L Oropharyngeal and Cervical Cancers	Globe Newswire	16.72	NASDAQ	2026-05-26 07:00:31.343633	0.9062	0.0207	0.0731	0.8855	positive	YES	0.2415	0.2914	0.1823	0.85	0.2761												12.95	14.1	63
PHIO	"[""PHIO""]"	nNFCb2s9MF	2026-05-26 07:00:31	Phio Pharmaceuticals Announces Participation in the Renmark Financial Communications Live Virtual Non-Deal Roadshow Series	Newsfile Corp	10.38	NASDAQ	2026-05-26 07:00:31.740331	0.2423	0.0139	0.7439	0.2284	positive	NO:sentiment_score	0.2478	0.2585	0.1385	0.4815	0.1749												1.11	1.83	50
CRGO	"[""CRGO""]"	nPn25ctVra	2026-05-26 07:00:31	Freightos Reports First Quarter 2026 Results	PR Newswire	35.15	NASDAQ	2026-05-26 07:00:31.941162	0.0618	0.0461	0.892	0.0157	neutral	NO:sentiment_score	0.1777	0.2507	0.1108	0.9209	0.291												2.36	15.69	50
ANY	"[""ANY"", ""CBIT""]"	nNFC6Lnyvc	2026-05-26 07:00:31	Cathedra Bitcoin Receives Final Court Approval for Sphere 3D Combination; Transaction Expected to Close June 1, 2026	Newsfile Corp	3.65	NASDAQ	2026-05-26 07:00:31.980562	0.5972	0.0238	0.379	0.5734	positive	NO:sentiment_score	0.1617	0.2329	0.0991	0.7661	0.2004												1.97	4.79	50
PSTV	"[""PSTV""]"	nGNX6mqL5b	2026-05-26 07:30:03	Plus' CNSide Diagnostic Platform Demonstrates Substantial Healthcare Cost Reduction in Patients with Leptomeningeal Metastases	Globe Newswire	6.84	NASDAQ	2026-05-26 07:30:03.270026	0.8473	0.0868	0.0659	0.7605	positive	YES	0.298	0.3868	0.2136	0.8714	0.3872												7.14	8.18	56
VHUB	"[""VHUB""]"	nGNX48m2nF	2026-05-26 07:30:05	VenHub Extends Flagship Smart Store Partnership at LAX/Metro Transit Center for Additional Two Years	Globe Newswire	25.0444	NASDAQ	2026-05-26 07:30:05.750371	0.8026	0.0103	0.1871	0.7922	positive	YES	0.4012	0.4919	0.2742	0.8075	0.4225												1.48	3.5	58
YRD	"[""YRD""]"	nPn6Mg4vFa	2026-05-26 07:30:06	Yiren Digital Comments on Recent Media Reports Concerning Affiliates of Its Controlling Shareholder	PR Newswire	29.3979	NYSE	2026-05-26 07:30:06.997992	0.1057	0.1447	0.7496	-0.039	neutral	NO:sentiment_score	0.0162	-0.0148	0.0202	0.5941	0.0895												1.6	0.0	50
SNGX	"[""SNGX""]"	nPn8WXdSva	2026-05-26 07:30:07	Suitability of Vaccine Platform for Bundibugyo Virus, Cause of the Ebola Outbreak in Congo	PR Newswire	14.8	NASDAQ	2026-05-26 07:30:07.137604	0.4432	0.0161	0.5407	0.4271	positive	NO:sentiment_score	0.2414	0.3495	0.2093	0.8336	0.4425												0.98	151.28	56
VRAX	"[""VRAX""]"	nPn27hWlwa	2026-05-26 07:30:08	Virax Biolabs Reports Positive Early Clinical Data for ViraxImmune™ in Long COVID and Related Post-Acute Infection Syndromes	PR Newswire	19.57	NASDAQ	2026-05-26 07:30:08.122459	0.9233	0.0214	0.0553	0.9019	positive	YES	0.365	0.4411	0.2468	0.8247	0.4121												0.31	6.9	63
YMAT	"[""YMAT""]"	nGNX9B2wQ2	2026-05-26 07:30:11	J-Star Holding Subsidiary Receives Central Bank of Taiwan Authorization to Initiate $60 Million Sovereign-Backed Financing Framework through Designated Banks for U.S. Solid-State Battery Expansion ($122.5 Million Project)	Globe Newswire	2.52	NASDAQ	2026-05-26 07:30:11.632030	0.8074	0.0158	0.1768	0.7916	positive	YES	0.3395	0.4764	0.2505	0.8081	0.339												1.84	318.18	75
YYGH	"[""YYGH""]"	nPn8cCQGta	2026-05-26 07:37:00	YY Group (NASDAQ: YYGH) Announces Strategic Partnership with Velobotics to Advance Autonomous Facility Management Capabilities in Southeast Asia	PR Newswire	2.19	NASDAQ	2026-05-26 07:37:00.624126	0.8943	0.0104	0.0953	0.8839	positive	YES	0.4419	0.5183	0.3033	0.8615	0.4867												0.63	53.66	66
OSTX	"[""OSTX""]"	nNFC1WvhsH	2026-05-26 07:40:13	OS Therapies to Attend Upcoming Medical, Financial and Industry Conferences	Newsfile Corp	31.76	NYSE AMERICAN	2026-05-26 07:40:13.137475	0.1267	0.0156	0.8577	0.1111	positive	NO:sentiment_score	0.3453	0.4108	0.2281	0.7648	0.1928												2.05	17.14	50
QUCY	"[""QUCY"", ""4TO""]"	nGNX9dk15z	2026-05-26 07:44:09	Quantum Cyber Strengthens Balance Sheet with Over $15 Million in Aggregate Financing; Cap Table is Debt-Free	Globe Newswire	10.68	NASDAQ	2026-05-26 07:44:09.600531	0.5149	0.015	0.47	0.4999	positive	NO:sentiment_score	0.3663	0.4429	0.2208	0.829	0.2938												4.04	20.6	75
ZENA	"[""ZENA""]"	nGNX83Z4jD	2026-05-26 07:45:00	ZenaTech Opens New Chapter of Growth Through Partnerships — Inviting Founder-Led Companies to Join Its Platform in Defense, Enterprise SaaS and AI Infrastructure	Globe Newswire	12.7	NASDAQ	2026-05-26 07:45:00.659061	0.639	0.0096	0.3514	0.6295	positive	NO:sentiment_score	0.3155	0.38	0.2346	0.7488	0.3288												1.55	10.71	88
IQST	"[""IQST""]"	nPn3gcGG4a	2026-05-26 07:58:00	IQST - IQSTEL Reports Q1 2026 Revenue of $97.9 Million, Up 69.9% Year Over Year, and Accelerates High-Margin Digital Services Expansion	PR Newswire	4.75	NASDAQ	2026-05-26 07:58:00.586161	0.9174	0.013	0.0696	0.9044	positive	YES	0.5685	0.633	0.4037	0.9174	0.5669												1.68	40.0	68
GCTK	"[""GCTK""]"	nGNX5DMJ8	2026-05-26 08:00:09	Glucotrack to Highlight Implantable Continuous Blood Glucose Monitoring Technology at the American Diabetes Association’s 2026 Scientific Sessions	Globe Newswire	6.06	NASDAQ	2026-05-26 08:00:09.975137	0.3684	0.0134	0.6182	0.355	positive	NO:sentiment_score	0.3174	0.309	0.1505	0.7061	0.2165												0.64	30.61	50
INDO	"[""INDO""]"	nGNX5mNY8s	2026-05-26 08:00:09	Indonesia Energy Corporation Reports Rig Mobilization Complete for K-29 Well, the First of Two Planned Wells at Kruh Block in 2026	Globe Newswire	9.92	NYSE AMERICAN	2026-05-26 08:00:10.007530	0.4359	0.0789	0.4852	0.357	positive	NO:sentiment_score	0.1995	0.2054	0.1336	0.8267	0.1101												3.26	-4.12	50
CLDI	"[""CLDI""]"	nGNX1zhlFj	2026-05-26 08:00:20	Calidi Biotherapeutics Announces Online Abstract Acceptances at the 2026 ASCO Annual Meeting	Globe Newswire	17.34	NYSE AMERICAN	2026-05-26 08:00:20.835657	0.1542	0.0125	0.8334	0.1417	positive	NO:sentiment_score	0.2948	0.3885	0.221	0.7511	0.2387												0.19	11.76	50
WNC	"[""WNC""]"	nBw5NrdJ1a	2026-05-26 08:00:22	Wabash Recognizes Outstanding Suppliers for 2025	Business Wire	38.45	NYSE	2026-05-26 08:00:22.482435	0.5106	0.0322	0.4572	0.4783	positive	NO:sentiment_score	0.6078	0.6363	0.4425	0.8044	0.5538												8.04	4.01	50
AERT	"[""AERT""]"	nGNX9KXTZv	2026-05-26 08:00:23	Global Entertainment and Events Company Partners with Aeries to Scale Enterprise Technology Operations	Globe Newswire	12.7	NASDAQ	2026-05-26 08:00:23.623799	0.3208	0.009	0.6702	0.3118	positive	NO:sentiment_score	0.6062	0.706	0.5144	0.8943	0.4635												6.04		58
RECT	"[""RECT""]"	nGNXbl6Mpf	2026-05-26 08:00:23	Rectitude Holdings Ltd Ramps up Supply Chain and Fleet Capacity Amid Surging Singapore Construction Demand	Globe Newswire	2.4	NASDAQ	2026-05-26 08:00:23.756334	0.9239	0.0258	0.0504	0.8981	positive	YES	0.5028	0.6172	0.392	0.9025	0.5583												1.4	6.87	50
LENZ	"[""LENZ""]"	nGNX2Hkn5V	2026-05-26 08:00:23	LENZ Therapeutics to Participate in Upcoming Investor Conferences	Globe Newswire	27.36	NASDAQ	2026-05-26 08:00:23.846536	0.1572	0.0162	0.8267	0.141	positive	NO:sentiment_score	0.3024	0.2983	0.1374	0.4049	0.1269												7.91	4.77	42
BNGO	"[""BNGO""]"	nGNXbPLY3K	2026-05-26 08:00:23	Bionano Announces Largest OGM Study of T-Cell Acute Lymphoblastic Leukemia	Globe Newswire	10.76	NASDAQ	2026-05-26 08:00:23.873871	0.2547	0.0214	0.7239	0.2334	positive	NO:sentiment_score	0.2214	0.3249	0.1808	0.7787	0.2724												1.27	4.1	50
BIVI	"[""BIVI""]"	nGNX4RGgbh	2026-05-26 08:00:24	BioVie Announces Full Enrollment of the ADDRESS-LC Trial of Bezisterim for the Treatment of Neurological Symptoms Associated with Long COVID	Globe Newswire	7.18	NASDAQ	2026-05-26 08:00:24.674761	0.4218	0.0127	0.5654	0.4091	positive	NO:sentiment_score	0.2861	0.3867	0.2343	0.7793	0.2719												1.78	19.46	58
ANVS	"[""ANVS""]"	nGNXbHggrr	2026-05-26 08:00:24	Annovis Bio Regains NYSE Listing Compliance	Globe Newswire	31.85	NYSE	2026-05-26 08:00:24.875461	0.0976	0.0492	0.8532	0.0484	neutral	NO:sentiment_score	0.4161	0.4488	0.3003	0.8307	0.3388												2.35	2.62	50
COCP	"[""COCP""]"	nGNX3S1gvS	2026-05-26 08:00:24	Cocrystal Pharma Announces Discovery of Pan-Viral Inhibitors Targeting Hantavirus, Bunyavirus and Influenza	Globe Newswire	9.06	NASDAQ	2026-05-26 08:00:24.878266	0.6245	0.0222	0.3533	0.6023	positive	NO:sentiment_score	0.3585	0.4372	0.2626	0.7701	0.4208												1.3	14.04	50
GANX	"[""GANX""]"	nGNX7Z87wf	2026-05-26 08:00:25	Gain Therapeutics Presents Positive Interim Data from Phase 1b Clinical Study of GT-02287 at 3rd International GBA1 Meeting 2026	Globe Newswire	41.36	NASDAQ	2026-05-26 08:00:25.186163	0.8489	0.016	0.1352	0.8329	positive	YES	0.3876	0.4512	0.3224	0.8488	0.4476												1.95	9.55	81
BNBX	"[""BNBX""]"	nBw4F4nQVa	2026-05-26 08:00:25	BNB Plus Corp. (BNBX) Secures Initial Commitments for $4.1M in Strategic Financing	Business Wire	4.55	NASDAQ	2026-05-26 08:00:25.321744	0.7657	0.0155	0.2188	0.7501	positive	YES	0.2674	0.3585	0.2058	0.7495	0.3188												0.45	18.42	83
LOBO	"[""LOBO""]"	nGNX75czQK	2026-05-26 08:00:25	LOBO Announces Increase in Product Orders, Growing Electric Mobility Presence in Latin America	Globe Newswire	11.33	NASDAQ	2026-05-26 08:00:25.366535	0.9231	0.0115	0.0654	0.9116	positive	YES	0.7012	0.7323	0.4753	0.9203	0.6701												0.73	5.8	58
LRE	"[""LRE""]"	nGNX6kYx6d	2026-05-26 08:00:25	Lead Real Estate Introduces JINRYU HOTEL series, a Long-Stay Hospitality Concept for Japan’s Cultural Sites	Globe Newswire	1.3938	NASDAQ	2026-05-26 08:00:25.541512	0.2156	0.0135	0.7709	0.2021	positive	NO:sentiment_score	0.1773	0.1852	0.1067	0.5124	0.1463												1.34	3.08	50
DARE	"[""DARE""]"	nGNX8DSTGc	2026-05-26 08:00:25	Daré Bioscience Receives NIH Funding Award Notice to Advance DARE-HPV, its Novel Investigational Treatment for Persistent High-Risk HPV Infection, the Most Common Cause of Cervical Cancer	Globe Newswire	13.73	NASDAQ	2026-05-26 08:00:25.626931	0.8423	0.0145	0.1432	0.8278	positive	YES	0.2714	0.3516	0.2138	0.7653	0.3822												2.4	0.0	50
CCLD	"[""CCLD""]"	nGNX5zfxyN	2026-05-26 08:00:25	CareCloud Acquires Empower Healthcare & Compliance Partners, adding a High-Growth Compliance Business to its AI-powered Platform	Globe Newswire	35.87	NASDAQ	2026-05-26 08:00:25.717031	0.4427	0.0099	0.5474	0.4328	positive	NO:sentiment_score	0.33	0.4033	0.2354	0.7833	0.2579												2.48	9.73	92
DRIO	"[""DRIO""]"	nPn1KBWp8a	2026-05-26 08:00:25	Dario More Than Doubles Addressable Market in Solera Health's Network via Expanded Hypertension Program, With Dario Now Reaching Greater Than 500,000 Eligible Lives	PR Newswire	5.82	NASDAQ	2026-05-26 08:00:25.950078	0.5646	0.0211	0.4143	0.5436	positive	NO:sentiment_score	0.3453	0.4268	0.2629	0.8447	0.5035												7.86	0.0	50
CTXR	"[""CTOR"", ""CTXR""]"	nPnbm1BRda	2026-05-26 08:00:25	Citius Oncology Announces Presentation of LYMPHIR® Phase 1 Combination Study Data at the 2026 American Society of Clinical Oncology Annual Meeting	PR Newswire	26.95	NASDAQ	2026-05-26 08:00:25.960748	0.2329	0.0307	0.7364	0.2023	positive	NO:sentiment_score	0.069	0.0956	0.0532	0.8004	0.274												0.71	2.9	63
CTOR	"[""CTOR"", ""CTXR""]"	nPnbm1BRda	2026-05-26 08:00:25	Citius Oncology Announces Presentation of LYMPHIR® Phase 1 Combination Study Data at the 2026 American Society of Clinical Oncology Annual Meeting	PR Newswire	21.38	NASDAQ	2026-05-26 08:00:25.957571	0.2329	0.0307	0.7364	0.2023	positive	NO:sentiment_score	0.0707	0.0973	0.0546	0.8004	0.2775												0.88	4.76	63
GNPX	"[""GNPX""]"	nPn4yCNnra	2026-05-26 08:00:25	Positive Clinical Data on Biomarkers in Patients Receiving Reqorsa® Gene Therapy Published at the 2026 ASCO Annual Meeting	PR Newswire	10.47	NASDAQ	2026-05-26 08:00:25.979635	0.6883	0.024	0.2877	0.6644	positive	NO:sentiment_score	0.3119	0.3761	0.2478	0.8378	0.3211												0.85	3.66	63
CTGO	"[""CTGO""]"	nPn2P0THYa	2026-05-26 08:00:28	Contango Commences 40,000-meter 2026 Drill Program at the Kitsault Valley Silver-Gold Project	PR Newswire	27.84	NYSE AMERICAN	2026-05-26 08:00:28.933328	0.1485	0.0176	0.8339	0.1308	positive	NO:sentiment_score	0.205	0.2617	0.1295	0.7334	0.2215												21.77	4.66	50
SPAI	"[""SPAI""]"	nGNX1vmmC9	2026-05-26 08:02:00	Safe Pro Celebrates 50,000th AI-Powered Landmine Detection Milestone Pioneering Modernized Force Protection and Humanitarian Innovation	Globe Newswire	12.93	NASDAQ	2026-05-26 08:02:00.895427	0.3157	0.0201	0.6641	0.2956	positive	NO:sentiment_score	0.3708	0.4217	0.2113	0.7612	0.3617												4.55	8.59	58
EVTV	"[""EVTV""]"	nBw2zHd8Na	2026-05-26 08:10:00	Envirotech Vehicles Provides Milestone Update Following AZIO AI Merger Agreement; Customer Deposits Received Against $118 Million Pipeline, 638-Unit Miner Fleet Deploying at Industry-Low $0.03/kWh Power Cost	Business Wire	12.55	NASDAQ	2026-05-26 08:10:00.565008	0.8442	0.0259	0.1299	0.8183	positive	YES	0.3608	0.4129	0.2021	0.8087	0.3308												2.79	27.4	68
DCOY	"[""DCOY""]"	nPn4ZTY0ya	2026-05-26 08:15:01	Decoy Therapeutics Names Brad Pentelute, MIT Professor of Chemistry, as Chair of Scientific Advisory Board	PR Newswire	0.5	NASDAQ	2026-05-26 08:15:01.146721	0.0606	0.0351	0.9043	0.0254	neutral	NO:sentiment_score	0.2194	0.2335	0.1438	0.6715	0.2084												8.25	13.01	50
KIDZ	"[""KIDZ""]"	nACS02f1na	2026-05-26 08:15:01	Classover Enters into a Strategic Partnership with 1Legion to Deploy up to $50 Million GPU Infrastructure	ACCESSWIRE	5.18	NASDAQ	2026-05-26 08:15:01.508291	0.8065	0.0089	0.1846	0.7975	positive	YES	0.3646	0.4376	0.2597	0.7641	0.3451												6.2		84
NCRA	"[""NCRA""]"	nGNX4NV8C6	2026-05-26 08:15:01	Nocera Announces Strategic Transformation into Nocera Holdings, Expanding Across Artificial Intelligence, Data Centers, Robotics, Biotech and Digital Assets	Globe Newswire	6.32	NASDAQ	2026-05-26 08:15:01.778244	0.1583	0.0136	0.8281	0.1446	positive	NO:sentiment_score	0.4333	0.507	0.3381	0.7712	0.4496												0.75	212.5	85
WKSP	"[""WKSP""]"	nACSty1qxa	2026-05-26 08:15:01	Worksport (NASDAQ:WKSP) Secures U.S. Patent For 'Industry-First' Zerofrost Heat Pump Through Its Subsidiary, Terravis Energy	ACCESSWIRE	9.75	NASDAQ	2026-05-26 08:15:01.802449	0.6635	0.0131	0.3235	0.6504	positive	NO:sentiment_score	0.4099	0.5258	0.2815	0.8964	0.3132												1.08	9.09	60
CMND	"[""CMND""]"	nGNX21dqxt	2026-05-26 08:25:00	Clearmind Medicine Announces Johns Hopkins IRB Approval to Advance CMND-100 Phase I/II Clinical Trial to the Next Parts	Globe Newswire	1.82	NASDAQ	2026-05-26 08:25:00.619418	0.6607	0.0113	0.328	0.6493	positive	NO:sentiment_score	0.2507	0.344	0.1464	0.8358	0.3145												2.7	22.73	66
CVU	"[""CVU"", ""NOC""]"	nGNX5gZ6Gf	2026-05-26 08:30:07	CPI Aerostructures is Awarded Follow-on Contract from Northrop Grumman for Welded Assemblies for E-2D Advanced Hawkeye	Globe Newswire	9.36	NYSE AMERICAN	2026-05-26 08:30:07.713001	0.9105	0.0127	0.0768	0.8979	positive	YES	0.2757	0.371	0.1626	0.7909	0.3196												5.19	15.85	58
BLNE	"[""BLNE""]"	nGNX9wV3xy	2026-05-26 08:30:07	Beeline Holdings Added to Membership of Russell Microcap® Index	Globe Newswire	25.78	NASDAQ	2026-05-26 08:30:07.833007	0.2263	0.0142	0.7595	0.2122	positive	NO:sentiment_score	0.2052	0.3124	0.1397	0.7223	0.2115												1.41	17.5	50
GCLWW	"[""GCL"", ""GCLWW""]"	nGNX9MR8Rs	2026-05-26 08:30:10	GCL Announces the Global Console and PC Version 1.0 Release of ‘Realm of Ink’	Globe Newswire	33.5227	NASDAQ	2026-05-26 08:30:10.579204	0.116	0.0432	0.8408	0.0729	positive	NO:sentiment_score	0.2066	0.2797	0.1582	0.7547	0.2167														50
GCL	"[""GCL"", ""GCLWW""]"	nGNX9MR8Rs	2026-05-26 08:30:10	GCL Announces the Global Console and PC Version 1.0 Release of ‘Realm of Ink’	Globe Newswire	15.95	NASDAQ	2026-05-26 08:30:10.581468	0.116	0.0432	0.8408	0.0729	positive	NO:sentiment_score	0.2018	0.278	0.1556	0.7547	0.1982												0.72	5.88	50
GSIT	"[""GSIT""]"	nGNX3rsvQG	2026-05-26 08:30:10	GSI Technology Announces Preliminary Inclusion in Russell 2000® Index	Globe Newswire	28.62	NASDAQ	2026-05-26 08:30:10.751411	0.1761	0.0171	0.8067	0.159	positive	NO:sentiment_score	0.1626	0.1798	0.1015	0.6446	0.1667												11.31	14.36	50
FTRK	"[""FTRK""]"	nGNX7xV9pN	2026-05-26 08:30:10	FAST TRACK GROUP Subsidiary Partners with South Korean Celebrity Amotti for Resorts World Sentosa’s “Paws for a Cause” CSR Event	Globe Newswire	8.47	NASDAQ	2026-05-26 08:30:10.802848	0.396	0.0582	0.5459	0.3378	positive	NO:sentiment_score	0.3179	0.3825	0.2194	0.7281	0.2674												0.53	10.42	58
ABEO	"[""ABEO""]"	nGNX7wMyx2	2026-05-26 08:30:10	Abeona Therapeutics® Announces Participation in Upcoming Investor Conferences	Globe Newswire	48.21	NASDAQ	2026-05-26 08:30:10.959924	0.1537	0.0293	0.817	0.1244	positive	NO:sentiment_score	0.177	0.1691	0.0734	0.3024	0.0618												5.55	2.59	42
PRFX	"[""PRFX""]"	nGNX1txpHf	2026-05-26 08:30:11	PRF Technologies Announces PRF-110 Demonstrated Sustained 72-Hour Analgesic Activity Comparable to Approved, Commercially Available Benchmark in Head-to-Head Preclinical Study	Globe Newswire	0.79	NASDAQ	2026-05-26 08:30:11.040848	0.9238	0.0159	0.0602	0.9079	positive	YES	0.4803	0.5779	0.3749	0.8875	0.537												1.51	6.34	50
SLXN	"[""SLXN""]"	nGNX55CPRn	2026-05-26 08:30:11	Silexion Therapeutics Announces 1-for-10 Reverse Share Split	Globe Newswire	3.89	NASDAQ	2026-05-26 08:30:11.075284	0.127	0.0308	0.8422	0.0963	positive	NO:sentiment_score	0.4027	0.4739	0.2195	0.8147	0.2275												4.94		50
RNXT	"[""RNXT""]"	nGNX6sLVXN	2026-05-26 08:30:11	RenovoRx Announces Promising Pharmacokinetic Data Using the TAMP™ Platform Presented at the 2026 ASCO Annual Meeting	Globe Newswire	43.5	NASDAQ	2026-05-26 08:30:11.753403	0.6119	0.0136	0.3745	0.5983	positive	NO:sentiment_score	0.3147	0.4134	0.2595	0.8049	0.3047												0.94	8.05	61
NNVC	"[""NNVC""]"	nACSNg4qWa	2026-05-26 08:30:11	In the Ebola Emergency, NV-387 is Ready to be Shipped to DRC, and It Compares Favorably as a Treatment for Ebola Versus Possible Options, Says NanoViricides	ACCESSWIRE	21.05	NYSE AMERICAN	2026-05-26 08:30:11.795118	0.7726	0.0145	0.2129	0.7581	positive	YES	0.1935	0.253	0.1512	0.8386	0.1705												1.75	6.06	50
LFS	"[""LFS""]"	nPn3Kw6L4a	2026-05-26 08:30:11	"LEIFRAS Co., Ltd. to Launch ""D-UNLOCK"" with Dribble Designer Masakazu Okabe Across Six Schools in the Tokyo Metropolitan Area"	PR Newswire	6.594	NASDAQ	2026-05-26 08:30:11.958576	0.3132	0.0239	0.6629	0.2893	positive	NO:sentiment_score	0.237	0.2538	0.1698	0.7396	0.1692												3.8	29.69	50
FLUX	"[""FLUX""]"	nGNX5dGm99	2026-05-26 08:31:00	Flux Power Appoints Stuart “Stu” Jacover as Vice President of Sales, Material Handling	Globe Newswire	17.06	NASDAQ	2026-05-26 08:31:00.726341	0.058	0.0575	0.8846	0.0005	neutral	NO:sentiment_score	0.413	0.4636	0.2323	0.7652	0.3213												1.06	7.07	50
MBAI	"[""MBAI""]"	nGNX4Q3xxq	2026-05-26 08:35:00	Check-Cap Presents MBody AI Robotics Platform at Miami Investor Summit	Globe Newswire	5.56	NASDAQ	2026-05-26 08:35:00.617659	0.2277	0.0313	0.741	0.1964	positive	NO:sentiment_score	0.2207	0.206	0.1398	0.4158	0.1589												1.81	3.43	66
