Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
AMWL	"[""AMWL""]"	nGNX4HLgLF	2026-05-05 16:05:03	Amwell® Announces Results for First Quarter 2026	Globe Newswire	12.91	0.1198	0.0736	0.8066	0.0461	neutral		NO:sentiment_score,Trades/sec	NYSE	7.7	19.75					0.0649	0.0649	0.0649	0.0649	0.0649	0.0649
INNV	"[""INNV""]"	nGNX1xbTMx	2026-05-05 16:05:04	InnovAge Announces Financial Results for the Fiscal Third Quarter Ended March 31, 2026	Globe Newswire	21.39	0.0671	0.0642	0.8686	0.0029	neutral		NO:sentiment_score,Trades/sec	NASDAQ	8.55	4.65					0.2875	0.419	0.1409	0.2875	0.1509	0.5119
SWIM	"[""SWIM""]"	nGNX8Yx5yF	2026-05-05 16:05:05	Latham Group, Inc. Reports First Quarter 2026 Financial Results	Globe Newswire	49.73	0.0928	0.1026	0.8046	-0.0098	neutral		NO:sentiment_score,Trades/sec	NASDAQ	6.3	8.62					0.121	0.3228	0.0739	0.3435	0.4777	0.3814
OKUR	"[""OKUR""]"	nGNXb40G4Z	2026-05-05 16:05:05	OnKure Therapeutics Reports First Quarter 2026 Financial Results	Globe Newswire	10.07	0.111	0.0874	0.8016	0.0236	neutral		NO:sentiment_score,Trades/sec	NASDAQ	4.7	2.17					0.1853	0.2184	0.1853	0.2527	0.3464	0.2184
SCKT	"[""SCKT""]"	nPn1t4PJ9a	2026-05-05 16:05:05	Socket Mobile Reports First Quarter 2026 Results	PR Newswire	5.22	0.0789	0.0571	0.864	0.0218	neutral		NO:sentiment_score,Trades/sec	NASDAQ	0.92	3.37					0.5058	0.6337	0.3951	0.5058	0.2546	0.6829
ACIC	"[""ACIC""]"	nGNX8gQCSv	2026-05-05 16:05:05	American Coastal Insurance Corporation Reports Financial Results for Its First Quarter Ended March 31, 2026	Globe Newswire	24.67	0.0624	0.1197	0.8179	-0.0573	negative		NO:sentiment_score,Trades/sec	NASDAQ	11.93	2.4					0.3169	0.4085	0.2272	0.4423	-0.0531	0.443
VRCA	"[""VRCA""]"	nGNX37RbDH	2026-05-05 16:05:05	Verrica Pharmaceuticals Announces Upcoming Presentation of Phase 2 Data Highlighting the Potential Abscopal Effects of VP-315 in the Treatment of Basal Cell Carcinoma at the 2026 Society for Investigative Dermatology (SID) Annual Meeting 	Globe Newswire	8.3	0.3958	0.0604	0.5438	0.3354	positive		NO:Trades/sec	NASDAQ	7.2	13.21					0.3277	0.3825	0.2313	0.3277	0.3195	0.422
PICS	"[""PICS""]"	nGNX4YRLrS	2026-05-05 16:07:57	PICS ALERT: Investigation Launched into PicS N.V., RGRD Law Attorneys Encourage Investors and Potential Witnesses to Contact Law Firm	Globe Newswire	22.23	0.1496	0.0193	0.8311	0.1303	positive	0.1035353535353535	YES	NASDAQ	11.97	2.75					0.0231	0.0231	0.0231	0.0231	0.0231	0.0231
ANGI	"[""ANGI""]"	nGNX6FNYgr	2026-05-05 16:10:00	Angi Inc. Earnings Release and Letter to Shareholders Available on Company’s Website	Globe Newswire	28.29	0.0544	0.028	0.9177	0.0264	neutral	0.0793103448275862	NO:sentiment_score	NASDAQ	7.61	4.82					0.5127	0.381	0.2168	0.2168	0.1674	0.5127
AIXC	"[""AIXC""]"	nPnVCtqka	2026-05-05 16:12:25	AIxCrypto Co-CEO Jerry Wang Shares Weekly Investor Update: Agentir Progress, Chutes AI Collaboration Framework, and Bitcoin 2026 Engagement	PR Newswire	18.98	0.0966	0.0223	0.8811	0.0743	positive	0.0049382716049382	YES	NASDAQ	1.51	6.34					0.2026	0.163	0.1141	0.2026	0.1619	0.2222
SLE	"[""SLE""]"	nGNX7VpCz4	2026-05-05 16:15:00	Super League Sets First Quarter 2026 Earnings Date, May 15, 2026	Globe Newswire	1.13	0.042	0.0554	0.9025	-0.0134	neutral	0.0054039448797622	NO:sentiment_score	NASDAQ	4.05	-0.98					0.0831	0.0765	0.0691	0.0691	0.0686	0.0831
LGVN	"[""LGVN""]"	nGNX21L6bs	2026-05-05 16:15:00	Longeveron to Report 2026 First Quarter Financial Results and Host Conference Call on May 13, 2026	Globe Newswire	19.3	0.084	0.0193	0.8967	0.0647	positive	0.0664451827242525	YES	NASDAQ	0.88	1.15					0.1359	0.1475	0.1182	0.1968	0.118	0.1609
UFI	"[""UFI""]"	nBw29WL0Ya	2026-05-05 16:15:00	UNIFI®, Makers of REPREVE®, Announces Third Quarter Fiscal 2026 Results	Business Wire	14.77	0.071	0.0459	0.883	0.0251	neutral	0.0327868852459016	NO:sentiment_score	NYSE	3.72	5.98					0.4489	0.433	0.2732	0.4489	0.5601	0.4885
FTEK	"[""FTEK""]"	nGNX6CkCJ2	2026-05-05 16:15:00	Fuel Tech Reports 2026 First Quarter Financial Results	Globe Newswire	23.89	0.2248	0.0941	0.6811	0.1307	positive	0.0344062153163152	YES	NASDAQ	1.68	-0.59					-0.0693	-0.0481	-0.0252	-0.0252	-0.0692	-0.0693
DHX	"[""DHX""]"	nBw3PFJs2a	2026-05-05 16:15:02	DHI Group Reports 2026 First Quarter Financial Results	Business Wire	34.12	0.1833	0.1507	0.666	0.0326	neutral		NO:sentiment_score,Trades/sec	NYSE	3.17	27.82					0.0605	0.0629	0.0687	0.0687	0.0315	0.0561
GPMT	"[""GPMT""]"	nBw13fczga	2026-05-05 16:15:02	Granite Point Mortgage Trust Inc. Reports First Quarter 2026 Financial Results and Post Quarter-End Update	Business Wire	44.18	0.0839	0.0714	0.8447	0.0125	neutral		NO:sentiment_score,Trades/sec	NYSE	1.47	4.26					0.0175	0.0184	0.0239	0.0332	0.0108	0.0097
ARDT	"[""ARDT""]"	nBwbymC4fa	2026-05-05 16:15:02	Ardent Health Reports First Quarter 2026 Results	Business Wire	22.42	0.0509	0.0795	0.8696	-0.0287	neutral	0.0245398773006134	NO:sentiment_score	NYSE	10.56	5.81					0.1725	0.2161	0.088	0.385	0.2336	0.2724
SGRP	"[""SGRP""]"	nBw5r2Tfta	2026-05-05 16:15:02	SPAR Group and Founder Robert G. Brown Agree to Unified Path Forward	Business Wire	11.25	0.6309	0.0126	0.3565	0.6183	positive		NO:Trades/sec	NASDAQ	0.8	17.65					0.5408	0.6687	0.4495	0.8029	0.6548	0.6919
EIC	"[""EIC""]"	nBw1vjfLqa	2026-05-05 16:15:02	Eagle Point Income Company Inc. Schedules Release of First Quarter 2026 Financial Results on Tuesday, May 19, 2026	Business Wire	19.18	0.0454	0.0885	0.866	-0.0431	neutral		NO:sentiment_score,Trades/sec	NYSE	10.4	1.46					0.0959	0.0801	0.0709	0.0709	0.0904	0.0959
EARN	"[""EARN""]"	nBw8jcqsfa	2026-05-05 16:15:02	Ellington Credit Company Announces Release Date of Earnings, Conference Call, and Investor Presentation	Business Wire	37.16	0.0356	0.0473	0.9171	-0.0117	neutral		NO:sentiment_score,Trades/sec	NYSE Arca	4.8	0.42					0.0997	0.0737	0.0617	0.0617	0.071	0.0997
CPSS	"[""CPSS""]"	nGNX9kW0w1	2026-05-05 16:15:02	CPS Announces First Quarter 2026 Earnings	Globe Newswire	9.23	0.0382	0.0467	0.9152	-0.0085	neutral		NO:sentiment_score,Trades/sec	NASDAQ	10.0	0.91					0.1104	0.1104	0.1104	0.1104	0.1104	0.1104
TRVG	"[""TRVG""]"	nGNE3HBFx2	2026-05-05 16:16:55	trivago N.V. files Antitrust Damages Claim Against Google in Germany	Globe Newswire	22.93	0.076	0.4683	0.4557	-0.3922	negative	0.068259385665529	NO:sentiment_score	NASDAQ	3.14	12.14					0.0599	0.0454	0.0554	0.5796	-0.0134	0.046
HOTH	"[""HOTH""]"	nPn76tRXka	2026-05-05 16:17:00	Hoth Therapeutics Secures European Authorization in Spain for HT-001 Phase 2a Trial as Interim Data Show Strong Efficacy in Cancer Patients	PR Newswire	18.48	0.8999	0.0109	0.0893	0.889	positive	0.2095238095238095	YES	NASDAQ	0.75	5.63					0.6016	0.6752	0.6016	0.6016	0.657	0.6752
AGBK	"[""AGBK""]"	nBw1SXYT8a	2026-05-05 16:23:00	Agi Inc. Reports First Quarter 2026 Results	Business Wire	29.39	0.054	0.0729	0.8731	-0.0189	neutral	0.0363036303630363	NO:sentiment_score	NYSE	6.99	2.64					0.2473	0.4752	0.1403	0.3102	0.1172	0.5711
TSI	"[""TSI""]"	nBwbv8bdga	2026-05-05 16:30:00	TCW Strategic Income Fund Announces Monthly Distribution	Business Wire	47.14	0.0785	0.1167	0.8048	-0.0382	neutral	0.0322061191626409	NO:sentiment_score	NYSE	4.58	0.66					0.0952	0.0952	0.0952	0.0952	0.0952	0.0952
SLGB	"[""SLGB""]"	nGNX53DltX	2026-05-05 16:30:00	Smart Logistics Global Limited Announces Receipt of Nasdaq Minimum Bid Price Deficiency	Globe Newswire	1.0	0.3333	0.0404	0.6263	0.2929	positive	0.0127118644067796	YES	NASDAQ	0.77	30.51					-0.0197	-0.0803	-0.0197	-0.0197	-0.0997	-0.0803
TOVX	"[""TOVX""]"	nGNX7zlBWk	2026-05-05 16:30:00	Theriva™ Biologics Reports First Quarter 2026 Operational Highlights and Financial Results	Globe Newswire	45.13	0.182	0.0993	0.7187	0.0827	positive	0.1515151515151515	YES	NYSE American	0.38	2.7					0.3697	0.5075	0.3101	0.7432	0.7706	0.5218
PERF	"[""PERF"", ""SZ9""]"	nBw5F5QWta	2026-05-05 16:30:01	Perfect Corp. Partners with Pegasus Startup World Cup for Silicon Valley Hackathon, Inviting Innovators to Build the Future of Retail using AI-Powered API Suite	Business Wire	40.94	0.3225	0.0091	0.6684	0.3133	positive	0.0375203915171288	YES	NYSE	1.73	0.58					0.3756	0.4407	0.2968	0.6465	0.3175	0.4758
LZM	"[""LZM""]"	nBw6TkQkya	2026-05-05 16:33:00	Lifezone Metals Announces Voting Results from its 2026 Annual General Meeting	Business Wire	35.61	0.1107	0.0515	0.8378	0.0592	positive	0.0344827586206896	YES	NYSE	5.78	6.06					0.0461	0.0463	0.042	0.042	0.0447	0.0461
CVGI	"[""CVGI""]"	nGNX1vdG7d	2026-05-05 16:35:00	CVG Reports First Quarter 2026 Results	Globe Newswire	27.98	0.0558	0.0411	0.9031	0.0147	neutral	0.0330578512396694	NO:sentiment_score	NASDAQ	4.64	9.18					0.0246	0.0246	0.0246	0.0246	0.0246	0.0246
TRVG	"[""TRVG""]"	nGNE3ZX9Mv	2026-05-05 16:44:48	trivago Delivers 15% Growth in Q1 and Raises Guidance After Fifth Consecutive Double-Digit Quarter	Globe Newswire	22.93	0.9325	0.0177	0.0498	0.9148	positive	0.0156128024980484	YES	NASDAQ	3.14	12.14					0.2792	0.3562	0.2792	0.4057	0.1685	0.3562
ATRA	"[""ATRA""]"	nGNX9tkHCX	2026-05-05 16:46:47	Pomerantz Law Firm Announces the Filing of a Class Action Against Atara Biotherapeutics, Inc. and Certain Officers – ATRA	Globe Newswire	4.86	0.1293	0.3774	0.4933	-0.2481	negative	0.0338709677419354	NO:sentiment_score	NASDAQ	4.88	0.0					-0.0816	-0.2016	-0.0406	0.5551	0.0232	-0.2328
GEMI	"[""GEMI""]"	nGNXjLxwb	2026-05-05 16:53:58	Pomerantz Law Firm Announces the Filing of a Class Action Against Gemini Space Station, Inc. and Certain Officers – GEMI	Globe Newswire	38.2	0.143	0.3296	0.5274	-0.1866	negative	0.0130385487528344	NO:sentiment_score	NASDAQ	4.97	5.07					-0.0178	-0.0499	0.0076	0.8142	0.0672	-0.0669
CPIX	"[""CPIX""]"	nPn2F6vNra	2026-05-05 17:00:00	CUMBERLAND PHARMACEUTICALS REPORTS Q1 2026 FINANCIAL RESULTS & COMPANY UPDATE	PR Newswire	8.72	0.0538	0.1109	0.8352	-0.0571	negative	0.0057045065601825	NO:sentiment_score	NASDAQ	4.75	11.5					0.3871	0.3467	0.1707	0.2655	0.5136	0.4476
CRNC	"[""CRNC""]"	nGNX4xLS26	2026-05-05 17:00:00	Cerence AI Files Complaint with the International Trade Commission Against Amazon	Globe Newswire	40.41	0.1437	0.4326	0.4237	-0.2889	negative		NO:sentiment_score,Trades/sec	NASDAQ	10.67	1.23					0.22	0.2817	0.1909	0.5777	0.1565	0.2894
VMD	"[""VMD""]"	nACSf5BXga	2026-05-05 17:00:01	Viemed Healthcare Announces First Quarter 2026 Financial Results	ACCESSWIRE	33.32	0.1072	0.0879	0.8049	0.0193	neutral		NO:sentiment_score,Trades/sec	NASDAQ	9.78	1.35					0.0	0.0136	0.01	0.01	-0.0137	0.0
CRIS	"[""CRIS""]"	nPnbp2JbGa	2026-05-05 17:12:18	Curis to Report First Quarter 2026 Financial and Operating Results and Host Conference Call and Webcast on May 12, 2026	PR Newswire	38.54	0.0778	0.0254	0.8967	0.0524	positive	0.0092524056254626	YES	NASDAQ	0.63	8.62					0.0	0.0366	0.0366	0.0366	0.0366	0.0
FCHL	"[""FCHL""]"	nGNX8Gqb1H	2026-05-05 17:12:40	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in Fitness Champs Holdings Ltd. of Class Action Lawsuit and Upcoming Deadlines – FCHL	Globe Newswire	0.35	0.1886	0.4121	0.3992	-0.2235	negative	0.0127427184466019	NO:sentiment_score	NASDAQ	3.29	11.15					-0.0225	-0.0225	-0.0225	-0.0225	-0.0225	-0.0225
AURA	"[""AURA""]"	nGNX7m94Vk	2026-05-05 17:15:07	Aura Biosciences Announces Closing of $299 Million Public Offering Including Full Exercise of Underwriters’ Option to Purchase Additional Shares	Globe Newswire	44.71	0.1647	0.0234	0.8119	0.1413	positive	0.006327111673521	YES	NASDAQ	9.54	13.71					0.0379	0.039	0.0466	0.0879	0.0246	0.0288
CHOW	"[""CHOW""]"	nGNX58Hl9y	2026-05-05 17:17:43	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of ChowChow Cloud International Holdings Ltd. - CHOW	Globe Newswire	10.64	0.0983	0.0831	0.8186	0.0151	neutral	0.0058927519151443	NO:sentiment_score	NYSE American	0.45	7.14					0.0	0.0119	0.0119	0.0119	0.0119	0.0
LGL	"[""LGL""]"	nNFC6f8VsS	2026-05-05 17:22:43	The LGL Group, Inc. Announces Details of Upcoming Investor Day on May 12, 2026	Newsfile Corp	4.36	0.0408	0.0292	0.93	0.0116	neutral	0.0024218939210462	NO:sentiment_score	NYSE American	7.15	0.56										
ATRA	"[""ATRA""]"	nGNX5ng8nZ	2026-05-05 17:38:00	ROSEN, A LONGSTANDING LAW FIRM, Encourages Atara Biotherapeutics, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - ATRA	Globe Newswire	4.86	0.2911	0.0294	0.6795	0.2617	positive	0.0338709677419354	YES	NASDAQ	4.88	0.0					0.1437	0.1802	0.0879	0.5323	0.082	0.2207
BATL	"[""BATL""]"	nGNX16FjQv	2026-05-05 17:43:29	Battalion Oil Announces Letter of Intent for Joint Development Agreement to Accelerate Monument Draw Activity 	Globe Newswire	16.75	0.6715	0.037	0.2915	0.6345	positive	0.053050397877984	YES	NYSE American	3.72	0.0										
BWEN	"[""BWEN""]"	nGNX5CBT02	2026-05-05 18:00:00	Broadwind Announces Strategic Exit From Wind Market With Sale of Abilene Facility, Pivots to Become Pure-Play Precision Manufacturer Supporting Power Generation and Critical Infrastructure Markets; and Withdraws 2026 Financial Guidance	Globe Newswire	19.98	0.1224	0.1523	0.7253	-0.0299	neutral	0.0028981307056948	NO:sentiment_score	NASDAQ	2.71	6.69					0.3265	0.3578	0.3068	0.8556	0.3384	0.3621
GEMI	"[""GEMI""]"	nPnbDyWLJa	2026-05-05 18:26:53	GEMI 13-DAY DEADLINE ALERT: Gemini Space Station Investors with Substantial Losses Have Opportunity to Lead Investor Class Action- Hagens Berman	PR Newswire	38.2	0.1812	0.0429	0.7759	0.1383	positive	0.0051692943913155	YES	NASDAQ	4.97	5.07					-0.0597	-0.1832	-0.0271	0.3816	-0.0701	-0.2097
SLMT	"[""SLMT""]"	nBw3lp5b4a	2026-05-05 19:00:00	Brera Holdings PLC (d/b/a Solmate Infrastructure) Provides Update on Expected Timing of Previously Approved Reverse Share Split	Business Wire	44.62	0.1073	0.0208	0.8719	0.0866	positive	0.0019361084220716	YES	NASDAQ	7.8	6.85					0.0	0.0824	0.0824	0.0824	0.0818	0.0
SBEV	"[""SBEV""]"	nGNX9C4yST	2026-05-05 19:07:25	Splash Beverage Group Receives NYSE Notice Regarding Shareholders’ Equity Requirement; will execute a plan to Regain Compliance	Globe Newswire	9.34	0.6797	0.0155	0.3048	0.6642	positive	0.003020767778477	YES	NYSE American	0.28	7.69										
GFR	"[""GFR""]"	nNFC44yyNn	2026-05-05 19:25:50	Greenfire Resources Reports First Quarter 2026 Results and Provides an Operational Update	Newsfile Corp	34.35	0.0682	0.0286	0.9032	0.0396	neutral	0.0047961630695443	NO:sentiment_score	NYSE	6.67	2.77					-0.2152	-0.2559	-0.1468	-0.1468	-0.0042	-0.2941
CTOR	"[""CTOR""]"	nPn76L1Mra	2026-05-05 20:00:00	Citius Oncology, Inc. Secures Up to $36.5 Million in Debt and Equity Capital to Accelerate LYMPHIR® Commercialization	PR Newswire	21.38	0.7469	0.0093	0.2438	0.7376	positive	0.0018903591682419	YES	NASDAQ	0.98	1.03					0.4381	0.624	0.4381	0.5415	0.6664	0.624
ATRA	"[""ATRA""]"	nACSn75w5a	2026-05-05 20:00:00	ATRA DEADLINE NOTICE: Atara Biotherapeutics, Inc. Investors Encouraged to Contact Kirby McInerney LLP By May 22, 2026	ACCESSWIRE	4.86	0.0847	0.0212	0.8941	0.0634	positive	0.0028165407758289	YES	NASDAQ	5.26	10.5					0.0	0.0048	0.004	0.0119	0.0007	0.0
YOOV	"[""YOOV""]"	nNFCkKGSd	2026-05-05 21:29:01	ROSEN, GLOBAL INVESTOR COUNSEL, Encourages Concorde International Group Ltd. Investors to Secure Counsel Before Important Deadline in Securities Class Action - YOOV	Newsfile Corp	5.91	0.163	0.0745	0.7625	0.0886	positive	0.002165618232443	YES	NASDAQ	1.49	1.36					0.0	0.0575	0.0575	0.0575	0.0575	0.0
GEMI	"[""GEMI""]"	nGNXbVZLBf	2026-05-05 22:19:28	Gemini Space Station, Inc. Notice of May 18, 2026 Application Deadline for Class Action Lawsuit - Contact Lewis Kahn, Esq. at Kahn Swick & Foti, LLC, Before Application Deadline	Globe Newswire	38.2	0.1291	0.0865	0.7844	0.0426	neutral	0.011806375442739	NO:sentiment_score	NASDAQ	5.05	5.21					-0.1292	-0.1292	-0.1292	-0.1292	-0.1292	-0.1292
EGAN	"[""EGAN""]"	nGNX2GMZWy	2026-05-06 03:30:20	eGain Evaluator Now Brings Continuous Quality Assurance to AI-Generated Answers	Globe Newswire	17.65	0.3496	0.0094	0.641	0.3402	positive	0.003271861986912552	YES	NASDAQ	8.11	0.75					0.0685	0.0299	0.0595	0.4696	-0.0329	0.0296
GENK	"[""GENK""]"	nGNX9XwP2Y	2026-05-06 04:05:00	GEN Korean BBQ Food available at Theme Parks in Southern California	Globe Newswire	4.69	0.1383	0.0333	0.8283	0.105	positive		NO:Trades/sec	NASDAQ	2.34	23.81					0.4424	0.5092	0.4424	0.4424	0.4724	0.5092
VMAR	"[""VMAR""]"	nPnbw01Pwa	2026-05-06 05:30:00	Vision Marine Technologies Renews and Expands Floor Plan Credit Facility to Support Inventory Deployment Across Nautical Ventures Platform	PR Newswire	0.83	0.9189	0.0117	0.0694	0.9072	positive	0.0023414218816517666	YES	NASDAQ	1.38	18.97					0.4043	0.5141	0.2502	0.2502	0.5624	0.5844
BESS	"[""BESS""]"	nGNX5km2q2	2026-05-06 06:30:00	Bimergen Energy Selects SMA as Inverter Supplier for 80 MW ERCOT BESS Portfolio	Globe Newswire	4.38	0.5068	0.0113	0.4819	0.4956	positive		NO:Trades/sec	NYSE American	2.59	12.61					0.4669	0.5311	0.2841	0.587	0.4051	0.6173
AMZE	"[""AMZE""]"	nGNX7QwCVv	2026-05-06 06:30:00	Amaze Announces Partnership with All Media Solutions to Power Brand Supply for Amaze Live	Globe Newswire	34.3	0.6251	0.0088	0.3662	0.6163	positive	0.0024603272235207284	YES	NYSE American	0.17	30.77										
EGAN	"[""EGAN""]"	nGNX69Yzkt	2026-05-06 06:30:00	eGain to Announce Fiscal 2026 Third Quarter Financial Results on May 14, 2026	Globe Newswire	17.65	0.0976	0.0478	0.8546	0.0498	neutral		NO:sentiment_score,Trades/sec	NASDAQ	8.11	0.75					0.0	0.0246	0.0246	0.0246	0.0246	0.0
GRO	"[""GRO""]"	nGNXbZZlCl	2026-05-06 06:45:00	Brazil Potash Awards Front-End Engineering Design (FEED) Contract for Surface Facilities and Infrastructure to Wood and Promon Engenharia, Advancing Bankability of the Autazes Project	Globe Newswire	40.11	0.9231	0.0143	0.0625	0.9088	positive		NO:Trades/sec	NYSE American	2.93	0.69					0.5243	0.5665	0.3995	0.6758	0.4429	0.5946
RMAX	"[""RMAX""]"	nGNX6sPVGt	2026-05-06 06:46:00	$RMAX Shareholder News: RE/MAX Holdings Merger Announcement Leads to Board Investigation – BFA Law Encourages Current Shareholders to Act	Globe Newswire	15.32	0.2114	0.1241	0.6645	0.0873	positive	0.0021358393848782574	YES	NYSE	10.86	3.23					0.0915	0.1485	0.0519	0.4039	-0.0009	0.1875
WBX	"[""WBX"", ""67E0""]"	nBwjDRKwa	2026-05-06 06:50:00	Wallbox Announces First Quarter 2026 Financial Results	Business Wire	4.84	0.09	0.1144	0.7955	-0.0244	neutral		NO:sentiment_score,Trades/sec	NYSE	3.11	7.24					0.1361	0.209	0.0917	0.4308	0.1575	0.2675
PSBD	"[""PSBD""]"	nBw3yScJZa	2026-05-06 07:00:00	Palmer Square Capital BDC Inc. Announces First Quarter 2026 Financial Results	Business Wire	21.48	0.0843	0.1399	0.7758	-0.0555	negative		NO:sentiment_score,Trades/sec	NYSE	11.35	1.79					0.0644	0.0202	0.0125	0.0656	0.026	0.0644
SLND	"[""SLND""]"	nBw9bvypTa	2026-05-06 07:00:00	Southland Schedules First Quarter 2026 Conference Call	Business Wire	12.5	0.0702	0.0843	0.8455	-0.0142	neutral		NO:sentiment_score,Trades/sec	NYSE American	1.06	-0.93					0.0732	0.0641	0.0602	0.0602	0.0608	0.0732
TCRX	"[""TCRX""]"	nGNX2P0svM	2026-05-06 07:00:00	TScan Therapeutics Reports First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	47.65	0.0829	0.0333	0.8838	0.0495	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.34	9.84					0.0816	0.0403	0.0287	0.0287	0.081	0.0816
KVHI	"[""KVHI""]"	nGNX4cdVKZ	2026-05-06 07:00:01	KVH Industries Reports First Quarter 2026 Results	Globe Newswire	11.31	0.077	0.0687	0.8543	0.0082	neutral		NO:sentiment_score,Trades/sec	NASDAQ	11.1	17.71					-0.0193	-0.0193	-0.0193	-0.0193	-0.0193	-0.0193
FCHL	"[""FCHL""]"	nACSTtqpVa	2026-05-06 07:00:01	FCHL INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	0.1438	0.1988	0.6574	-0.055	negative		NO:sentiment_score,Trades/sec	NASDAQ	2.86	8.75					-0.0213	-0.0265	0.0025	0.3341	-0.0498	-0.0464
HYPD	"[""HYPD""]"	nGNXGz0Qm	2026-05-06 07:00:01	Hyperion DeFi Announces Pricing of Public Offering of Common Stock	Globe Newswire	6.89	0.1716	0.0473	0.7811	0.1243	positive		NO:Trades/sec	NASDAQ	4.36	3.81					0.094	0.094	0.094	0.094	0.094	0.094
ICG	"[""ICG""]"	nGNX3B2q33	2026-05-06 07:00:01	Intchains Group Limited Announces Transition to Semi-Annual Financial Reporting	Globe Newswire	29.4089	0.1291	0.0544	0.8165	0.0747	positive		NO:Trades/sec	NASDAQ	1.34	6.35					0.1372	0.0938	0.0781	0.0781	0.1086	0.1372
MASS	"[""MASS""]"	nBwc9XcXda	2026-05-06 07:00:01	908 Devices Acquires NIRLAB AG, Expanding Its Narcotics Detection Portfolio	Business Wire	27.86	0.6714	0.0112	0.3173	0.6602	positive	0.0018726591760299626	YES	NASDAQ	8.2	15.66					0.3699	0.4807	0.2502	0.8281	0.3578	0.5458
USEG	"[""USEG""]"	nGNX1RMFkJ	2026-05-06 07:00:01	U.S. Energy Corp. Selected to Participate in the Inaugural Emerging Company Pavilion at the 31st Annual Sohn Investment Conference on May 12, 2026	Globe Newswire	35.97	0.223	0.0132	0.7638	0.2098	positive		NO:Trades/sec	NASDAQ	1.12	4.67					0.3349	0.5023	0.3349	0.4495	0.3898	0.5023
CHOW	"[""CHOW""]"	nACSVdNP7a	2026-05-06 07:00:01	CHOW Investors Have Opportunity to Lead ChowChow Cloud International Holdings Ltd. Class Action Lawsuit – Contact Bronstein, Gewirtz and Grossman, LLC Today!	ACCESSWIRE	10.64	0.1867	0.0662	0.7472	0.1205	positive		NO:Trades/sec	NYSE American	0.43	0.0					0.016	0.0261	0.0174	0.3292	-0.0288	0.0278
YOOV	"[""YOOV""]"	nACSY70xXa	2026-05-06 07:00:01	CIGL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	5.91	0.2	0.1968	0.6032	0.0033	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.49	1.36					0.0301	0.0225	0.0223	0.3341	-0.021	0.0245
EPRX	"[""EPRX""]"	nGNXc268Z3	2026-05-06 07:00:02	Eupraxia Pharmaceuticals’ First Release of EoEHSS Sub Scores Data from its Ongoing Phase 1b/2a RESOLVE Trial in Eosinophilic Esophagitis at Digestive Disease Week	Globe Newswire	49.53	0.1571	0.0265	0.8164	0.1306	positive		NO:Trades/sec	NASDAQ	7.65	5.23					0.2291	0.1933	0.1655	0.1655	0.2038	0.2299
TPST	"[""TPST""]"	nGNX6MGmTG	2026-05-06 07:00:03	Tempest Presents Clinical Update at ISCT 2026 Annual Meeting	Globe Newswire	8.13	0.1239	0.0307	0.8454	0.0933	positive		NO:Trades/sec	NASDAQ	2.25	4.65					0.0283	-0.091	0.0284	0.2333	0.1857	-0.123
GEMI	"[""GEMI""]"	nACSTdRrJa	2026-05-06 07:00:04	Class Action Litigation Filed by Pomerantz LLP Against Gemini Space Station, Inc.  – GEMI	ACCESSWIRE	38.2	0.1218	0.1502	0.728	-0.0285	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.05	5.21					-0.0384	-0.058	-0.0056	0.809	0.0391	-0.0745
ATRA	"[""ATRA""]"	nACSF63qsa	2026-05-06 07:00:06	ATRA SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	0.196	0.173	0.6311	0.023	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.26	10.5					0.0288	0.0289	0.0248	0.4484	-0.0235	0.0305
TACT	"[""TACT""]"	nNFCb4byDb	2026-05-06 07:00:20	TransAct Technologies to Present at the LD Micro Invitational XVI	Newsfile Corp	9.02	0.1108	0.0139	0.8753	0.0969	positive		NO:Trades/sec	NASDAQ	3.63	8.04					0.0839	0.0839	0.0839	0.0839	0.0839	0.0839
